depth,age,d13Cp,d18Op,MgCa
196.200,55989,1.14,-2.79,4.81
196.190,55988,1.28,-2.51,4.92
196.180,55986,1.40,-2.93,5.14
196.170,55985,1.50,-2.81,4.33
195.980,55956,2.14,-2.89,4.78
195.830,55934,1.57,-2.39,4.35
195.820,55932,1.68,-2.76,4.05
195.650,55906,0.02,-2.95,5.38
195.540,55899,0.89,-2.97,6.07
195.390,55888,0.94,-3.27,6.26
195.270,55880,0.37,-3.54,5.91
195.210,55876,0.48,-3.91,6.24
195.110,55869,0.75,-3.36,
195.010,55862,0.77,-3.34,6.37
194.910,55856,0.25,-3.32,5.83
194.810,55849,0.47,-3.40,5.42
194.710,55842,0.99,-4.02,
194.700,55841,1.18,-3.78,5.84
194.610,55835,1.13,-3.87,5.10
194.540,55830,1.24,-3.51,4.53
194.510,55828,1.59,-3.73,4.63
194.410,55821,2.12,-3.60,5.07
194.310,55815,2.14,-3.21,4.34
194.130,55802,1.44,-3.49,4.94
193.920,55788,1.63,-2.78,4.46
193.730,55775,2.83,-2.98,4.12
193.420,55754,1.39,-2.68,4.23
193.210,55739,1.70,-2.91,4.23
