"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"d18Osw[1]",-1.14790973811041,0.099515444767397,-1.3455115267564,-1.21332487624341,-1.14756845281544,-1.08209372599975,-0.949178169034648,1.00117920463246,5600
"d18Osw[2]",-1.14789028369383,0.0995115101603777,-1.34482418568658,-1.21313164855292,-1.14727894572322,-1.08203048101563,-0.948676600328789,1.00117718409603,5600
"d18Osw[3]",-1.14792265520368,0.0995143560594542,-1.34594203224772,-1.21325199741942,-1.14707827139249,-1.08211302732344,-0.949211200160781,1.00116809376444,5700
"d18Osw[4]",-1.14792114995708,0.0995080114179205,-1.34572802493903,-1.21350985069715,-1.14746306670592,-1.082063740094,-0.949105860766611,1.0011726757051,5600
"d18Osw[5]",-1.1478973150588,0.0995496819642647,-1.34508936423261,-1.21379148592501,-1.14731395206016,-1.08203674149775,-0.949054190739794,1.0011687607735,5700
"d18Osw[6]",-1.14791870213405,0.0995426503386805,-1.34582606403466,-1.2135058927846,-1.14735701060949,-1.0817207906898,-0.948620995792288,1.00116575138576,5700
"d18Osw[7]",-1.14794274806432,0.0995537937998779,-1.34537989741198,-1.21344043765074,-1.14749107558195,-1.08177626378044,-0.948850304842455,1.00117730067194,5600
"d18Osw[8]",-1.14790257767811,0.0995365579675735,-1.34564633349343,-1.21350794690715,-1.14746167573519,-1.08173679049791,-0.94859774724758,1.00119283916311,5500
"d18Osw[9]",-1.14789798861711,0.0995329903764357,-1.34503392223533,-1.21333524535594,-1.14778241435827,-1.08131487065436,-0.949285481740984,1.00116809717084,5700
"d18Osw[10]",-1.1478842961296,0.0995487412588803,-1.3469513200094,-1.2133622027517,-1.14756009167186,-1.08144506826189,-0.948476003135816,1.00120015761591,5500
"d18Osw[11]",-1.14793933696967,0.0995518967429623,-1.34590630512788,-1.21317138916063,-1.14756063366198,-1.08152106544284,-0.949307964828069,1.00120137332874,5500
"d18Osw[12]",-1.14794817276523,0.099548163651971,-1.34665673867392,-1.21298048165183,-1.14752609995563,-1.08201306453358,-0.949325017022756,1.00121153948512,5400
"d18Osw[13]",-1.14792699425209,0.0995720088636433,-1.34621528220048,-1.21323077834093,-1.14714417646153,-1.0818828240714,-0.948233437255352,1.0011858331186,5500
"d18Osw[14]",-1.14794687105281,0.0995443375290853,-1.34513437130164,-1.2132499022115,-1.14755079573521,-1.08174187924154,-0.948917635427944,1.00118398712526,5600
"d18Osw[15]",-1.14794944532368,0.0995430637479979,-1.34453826834081,-1.21301725846199,-1.14768437138264,-1.08193563094974,-0.948415306500412,1.00120499513728,5400
"d18Osw[16]",-1.14795897818325,0.0996106186277216,-1.34572311905435,-1.21384328147427,-1.14719431929183,-1.08195770359878,-0.948149643426811,1.00119758432843,5500
"d18Osw[17]",-1.14793243576059,0.0995834828777466,-1.34573585879067,-1.21353486482151,-1.14758364963919,-1.08135301581367,-0.948489752467406,1.00120183884544,5500
"d18Osw[18]",-1.14793398455519,0.0995625264154769,-1.34653079807879,-1.2135352243441,-1.14750188843865,-1.08155702590102,-0.948470967325472,1.00119707759611,5500
"d18Osw[19]",-1.14795895906116,0.09954080590095,-1.34578373664924,-1.21308287585434,-1.14769861995882,-1.08191366846824,-0.948199487280088,1.00119594666153,5500
"d18Osw[20]",-1.14794892570077,0.0995662561459262,-1.34499038882396,-1.21341433950827,-1.14758515654536,-1.08169913246701,-0.949158906454387,1.00118958267104,5500
"d18Osw[21]",-1.14793471771144,0.0995524816855413,-1.34530023015105,-1.21370088107235,-1.14767446122933,-1.0814083012757,-0.948671200311912,1.00117944062819,5600
