age,dic,,,,,,
60000,0.002012,,,,,,
55935,0.002055,,,,,,
55935,0.002050,,,,,,
55934,0.002050,,,,,,
55934,0.002055,,,,,,
55934,0.002061,,,,,,
55934,0.002067,,,,,,
55933,0.002075,,,,,,
55933,0.002083,,,,,,
55933,0.002090,,,,,,
55932,0.002096,,,,,,
55932,0.002101,,,,,,
55932,0.002109,,,,,,
55931,0.002114,,,,,,
55931,0.002118,,,,,,
55931,0.002123,,,,,,
55931,0.002129,,,,,,
55930,0.002134,,,,,,
55930,0.002139,,,,,,
55930,0.002144,,,,,,
55929,0.002150,,,,,,
55929,0.002156,,,,,,
55929,0.002160,,,,,,
55929,0.002163,,,,,,
55928,0.002166,,,,,,
55928,0.002169,,,,,,
55927,0.002172,,,,,,
55927,0.002174,,,,,,
55927,0.002176,,,,,,
55926,0.002179,,,,,,
55926,0.002182,,,,,,
55925,0.002186,,,,,,
55925,0.002188,,,,,,
55925,0.002190,,,,,,
55924,0.002192,,,,,,
55924,0.002194,,,,,,
55923,0.002197,,,,,,
55923,0.002201,,,,,,
55922,0.002205,,,,,,
55921,0.002209,,,,,,
55920,0.002212,,,,,,
55919,0.002216,,,,,,
55919,0.002220,,,,,,
55918,0.002223,,,,,,
55917,0.002227,,,,,,
55915,0.002230,,,,,,
55914,0.002233,,,,,,
55913,0.002236,,,,,,
55912,0.002239,,,,,,
55911,0.002241,,,,,,
55910,0.002244,,,,,,
55909,0.002246,,,,,,
55907,0.002249,,,,,,
55906,0.002251,,,,,,
55905,0.002253,,,,,,
55903,0.002255,,,,,,
55902,0.002257,,,,,,
55901,0.002259,,,,,,
55899,0.002261,,,,,,
55897,0.002263,,,,,,
55896,0.002264,,,,,,
55894,0.002266,,,,,,
55892,0.002268,,,,,,
55890,0.002270,,,,,,
55888,0.002271,,,,,,
55886,0.002273,,,,,,
55885,0.002273,,,,,,
55884,0.002274,,,,,,
55883,0.002275,,,,,,
55881,0.002276,,,,,,
55879,0.002277,,,,,,
55878,0.002279,,,,,,
55876,0.002280,,,,,,
55874,0.002281,,,,,,
55872,0.002282,,,,,,
55871,0.002283,,,,,,
55869,0.002284,,,,,,
55867,0.002285,,,,,,
55865,0.002285,,,,,,
55863,0.002286,,,,,,
