age,mean,sd,2.50%,25%,50%,75%,97.50%
58776,7.743525702,0.006428399,7.72616124,7.74098591,7.745511418,7.748111888,7.749840639
58759,7.753026293,0.028402987,7.697312254,7.734178782,7.753126375,7.771989916,7.808487182
58741,7.762944154,0.037394194,7.688745181,7.737986646,7.763504388,7.7883584,7.835201283
58724,7.771063341,0.04277565,7.687684343,7.742230809,7.770818926,7.799944097,7.855027373
58706,7.780922333,0.045611162,7.692108323,7.750088946,7.780992621,7.811718373,7.870035796
58688,7.791126704,0.046238056,7.699216731,7.76038682,7.790769231,7.822492923,7.880998676
58671,7.801170937,0.044814834,7.713766034,7.770737162,7.801163109,7.831749338,7.88931511
58654,7.810409164,0.041419749,7.729249215,7.782927067,7.810381837,7.83825401,7.891588178
58638,7.816855957,0.035933172,7.745533207,7.793053199,7.816801519,7.841232791,7.886789308
58621,7.820880105,0.025826803,7.769768163,7.80352836,7.821025563,7.837994148,7.871124205
58605,7.813458252,0.036415973,7.742179407,7.789017237,7.813386043,7.83797236,7.884166432
58589,7.805239908,0.042934173,7.721024891,7.776526085,7.805060174,7.833885928,7.889265452
58571,7.793201573,0.047486531,7.70006881,7.761369464,7.792880365,7.824938564,7.887164842
58553,7.782342447,0.050160865,7.684668013,7.748025068,7.782324166,7.815707892,7.881128148
58534,7.771132337,0.051622419,7.671267637,7.73646405,7.770911089,7.806131561,7.872407521
58516,7.758399913,0.051265045,7.656509561,7.724189908,7.757774694,7.793085029,7.859601002
58497,7.745686599,0.048923388,7.649864775,7.712273368,7.745848645,7.778383067,7.841486615
58479,7.731060827,0.044997323,7.643352652,7.700892068,7.731007888,7.761696068,7.817600925
58460,7.715442293,0.038063532,7.639853411,7.690159394,7.715394624,7.741192373,7.789841807
58441,7.699749316,0.026695015,7.646586996,7.682162442,7.700507189,7.71767352,7.750904867
58421,7.70905528,0.038600445,7.631697706,7.683180585,7.709475578,7.734758056,7.783202686
58402,7.716306505,0.044566533,7.628601595,7.686189911,7.716368495,7.746383762,7.802585349
58383,7.723448894,0.047670836,7.630114862,7.691291977,7.723759144,7.755613913,7.81655155
58363,7.730911727,0.048854859,7.635104526,7.698284186,7.73078628,7.764163668,7.826108994
58344,7.737584905,0.047635908,7.643315182,7.705538658,7.738002498,7.769933564,7.830493215
58328,7.742246086,0.0449826,7.652604729,7.712350905,7.742301621,7.772444039,7.830514137
58324,7.743393702,0.044016892,7.65598288,7.714341316,7.743472089,7.773197182,7.828630241
58309,7.749418285,0.039241345,7.671057929,7.723558783,7.749793693,7.776081793,7.825664179
58305,7.751042404,0.037386044,7.676732533,7.726124841,7.750887193,7.776238695,7.823741678
58288,7.75659382,0.026279493,7.704320854,7.739036386,7.75669227,7.774534433,7.807394627
58286,7.757122786,0.024508244,7.708422023,7.740879982,7.757580366,7.773764377,7.804116447
58283,7.757709489,0.027323652,7.702852638,7.739557536,7.758255547,7.776104999,7.809958399
58279,7.758332879,0.030505953,7.696524148,7.73781959,7.758976618,7.779094535,7.816488603
58268,7.760566375,0.036803765,7.687766255,7.73557506,7.760483698,7.786024419,7.83121065
58266,7.76091282,0.037776544,7.6864104,7.735076401,7.760914149,7.786811239,7.834302283
58257,7.760368675,0.041305684,7.678245664,7.732346222,7.760359913,7.788615619,7.839055686
58249,7.760113022,0.044041275,7.673368586,7.731159428,7.760111438,7.789903189,7.844644217
58248,7.760070871,0.044236464,7.673143076,7.730557124,7.759932025,7.790036449,7.844949921
58247,7.759994625,0.044455835,7.672779357,7.730472575,7.760398413,7.790035838,7.845164642
58240,7.76058099,0.046292242,7.669448735,7.729768316,7.76075562,7.79204037,7.849234762
58235,7.760811089,0.047361667,7.667833425,7.729491829,7.7613018,7.792619194,7.8532162
58229,7.761224794,0.048268652,7.666082113,7.72947309,7.761710602,7.79286377,7.85557171
58228,7.761359639,0.048444668,7.665880345,7.72944887,7.761744002,7.79371485,7.85538594
58224,7.761734695,0.048937944,7.665477003,7.729497665,7.762303023,7.794574229,7.857167493
58218,7.762445535,0.049668639,7.662782459,7.728978881,7.762854861,7.795812289,7.860165315
58210,7.763501512,0.049770384,7.665348073,7.729970525,7.764071715,7.797335463,7.861028508
58208,7.763628924,0.049686617,7.666050213,7.73028542,7.76402249,7.797414358,7.861015129
58202,7.763977967,0.049340732,7.666984209,7.730754149,7.76410513,7.79709112,7.86116365
58197,7.764447642,0.048969606,7.668206361,7.73183388,7.764727515,7.797117949,7.859573473
58192,7.764677497,0.048674537,7.669254683,7.732121254,7.76504024,7.797392724,7.860288494
58191,7.76466127,0.048674095,7.669460983,7.732052125,7.764876669,7.797630288,7.859159676
58189,7.764816882,0.048481052,7.669457878,7.732047991,7.765063748,7.797700559,7.858860458
58179,7.765546692,0.047556523,7.672974836,7.733438115,7.765321033,7.797815669,7.857388599
58173,7.76577413,0.04654125,7.674185728,7.734910878,7.76573576,7.797134399,7.856872847
58171,7.765742391,0.046064372,7.674341105,7.735277848,7.76541169,7.797013516,7.855827849
58169,7.765946511,0.045687895,7.675995647,7.735649518,7.765514366,7.796875063,7.855507159
58162,7.76614272,0.043744838,7.680288271,7.736696411,7.766155452,7.795276268,7.85273775
58154,7.766108808,0.040799822,7.686976585,7.738441738,7.766260871,7.793669677,7.845432892
58153,7.766076353,0.040516522,7.686878395,7.738629511,7.766285062,7.793375879,7.845505223
58150,7.766085006,0.039530257,7.688625589,7.739045894,7.766055623,7.792886033,7.842929363
58149,7.765970164,0.039063599,7.688803232,7.739910044,7.765747148,7.79253854,7.841632658
58136,7.765366692,0.032231461,7.701444893,7.743747349,7.765672094,7.787519456,7.827605579
58133,7.765201414,0.030100033,7.705879228,7.745162294,7.765436324,7.78577904,7.822970434
58131,7.764343156,0.03054577,7.703627312,7.743950237,7.764564576,7.785056535,7.822966478
58128,7.763153525,0.030828816,7.701634795,7.742433167,7.763208022,7.784072877,7.823282234
58119,7.759188565,0.030413861,7.69866826,7.739030699,7.759157909,7.779912205,7.818104312
58116,7.757958279,0.029659194,7.698894399,7.738281512,7.758006398,7.777899307,7.815919706
58113,7.75671721,0.028627317,7.69943305,7.737427126,7.756994757,7.775923058,7.812063185
58112,7.756074837,0.028067321,7.700560909,7.737315569,7.756192373,7.774997311,7.810322765
58110,7.754957027,0.027105039,7.70169667,7.736580956,7.755100749,7.773145323,7.807629507
58102,7.75046531,0.020542219,7.709213013,7.736644004,7.750948871,7.764588833,7.78947653
58101,7.748549901,0.020573816,7.707244017,7.73487303,7.749037308,7.762554152,7.787707666
58099,7.733528824,0.021124991,7.691273072,7.719430373,7.733722468,7.747895726,7.774203982
58096,7.714386641,0.02297169,7.668449232,7.699231857,7.714764682,7.730160709,7.758666191
58091,7.682378094,0.023562424,7.635668791,7.666635205,7.682777741,7.69849708,7.727066423
58086,7.65075252,0.021119805,7.608547675,7.636884236,7.651302233,7.665311756,7.690787095
58081,7.639146195,0.021878675,7.595505754,7.624596201,7.639531827,7.654016678,7.680943567
58074,7.677395203,0.024271844,7.628821573,7.661237377,7.677930303,7.693954592,7.723759735
58073,7.682787044,0.024157924,7.634738813,7.666471128,7.683199408,7.699274257,7.728797486
58071,7.693762235,0.023485578,7.646561863,7.678031715,7.693903448,7.709807003,7.739669607
58068,7.71010033,0.021806704,7.666702636,7.695596465,7.710493441,7.72493171,7.752236281
58064,7.721217974,0.021514267,7.678159989,7.706901272,7.721689278,7.735875918,7.762261004
58057,7.734253002,0.025253442,7.683960687,7.717386313,7.734597676,7.751242217,7.782771165
58045,7.757219414,0.022046929,7.713701668,7.742545353,7.757441219,7.772236418,7.799536342
58043,7.757609747,0.02386383,7.710476125,7.741375327,7.757823478,7.773801784,7.804034987
58029,7.760091094,0.031923946,7.697513976,7.738550121,7.759816417,7.781140203,7.823330719
58015,7.764279792,0.03414755,7.697029404,7.741284252,7.764039557,7.787432876,7.831434348
58001,7.765368404,0.032346457,7.701175966,7.744135324,7.765863202,7.78696181,7.82906767
57990,7.766282301,0.027076913,7.712248779,7.748437531,7.766565439,7.784574644,7.818890797
57987,7.766724304,0.024798138,7.717353322,7.750446036,7.766968008,7.783549797,7.814324889
57976,7.767828325,0.032971493,7.703040473,7.746021906,7.767982143,7.789737792,7.833144623
57973,7.76807329,0.034689443,7.700125237,7.744949404,7.768220078,7.791374948,7.83615475
57962,7.769855215,0.039740532,7.691074394,7.742884973,7.76983283,7.796348119,7.848216617
57959,7.770229813,0.040938906,7.68844612,7.742884121,7.77029116,7.797449129,7.852223882
57945,7.773932567,0.045566527,7.684207747,7.743377489,7.773624737,7.804990813,7.863100711
57931,7.777033331,0.048721952,7.681543458,7.744086898,7.777418149,7.809465126,7.872785257
57917,7.779431788,0.050534427,7.680119287,7.74588334,7.779710233,7.812515625,7.880002002
57903,7.782323451,0.051439961,7.682216484,7.748334983,7.78210063,7.816259638,7.884343827
57876,7.787053694,0.05028763,7.689140723,7.753433333,7.786759822,7.820479392,7.886661125
57862,7.79092864,0.048289603,7.696955392,7.759274106,7.790426962,7.822802872,7.888448566
57851,7.794210345,0.04569333,7.705740433,7.763330918,7.794499549,7.824476709,7.884435624
57848,7.794917627,0.044904656,7.707869289,7.76433073,7.794717803,7.824846236,7.884116312
57834,7.799061891,0.040039355,7.721370915,7.771700412,7.798930359,7.826178503,7.877730547
57820,7.804101199,0.033432366,7.738838765,7.782105577,7.803739203,7.826498937,7.869792672
57806,7.808552089,0.022054491,7.764282612,7.794016347,7.808843441,7.8233598,7.851319176
57792,7.807009297,0.033071097,7.741988905,7.784842796,7.8070377,7.829304126,7.871424913
57778,7.804214914,0.040224732,7.724438405,7.777211778,7.80414455,7.831566745,7.8827427
57764,7.801446723,0.045195002,7.714335507,7.770505394,7.80114429,7.832125089,7.890618105
57750,7.801734775,0.048393367,7.709323435,7.768652396,7.80161811,7.834798183,7.896198151
57736,7.802097364,0.050679932,7.70362981,7.767425481,7.802614535,7.836193837,7.901102105
57722,7.800597988,0.052069295,7.698064744,7.765428995,7.800854012,7.836086153,7.902181567
57708,7.798919237,0.052558213,7.695591842,7.762985777,7.799730408,7.834088869,7.901644726
57700,7.796013642,0.05208026,7.692761692,7.76115092,7.796262649,7.831138879,7.897761309
57687,7.792760084,0.051219619,7.692257606,7.757469384,7.793305189,7.82746563,7.893838792
57673,7.78925509,0.049724336,7.692185253,7.755353425,7.788813378,7.823622382,7.887049603
57659,7.784905071,0.046773811,7.692063495,7.753165485,7.78497959,7.817015962,7.874618047
57645,7.781070066,0.042634835,7.696531047,7.752352818,7.781293802,7.809686894,7.864039445
57632,7.778428135,0.036860393,7.705319263,7.754044806,7.778522305,7.802879497,7.851087746
57619,7.775947276,0.028589922,7.719263461,7.756455081,7.776140202,7.79550995,7.831256465
57606,7.777848443,0.03619343,7.707303192,7.753217365,7.777977324,7.80220978,7.848510146
57593,7.7807789,0.041013172,7.700933019,7.753124016,7.780833867,7.808776722,7.860629513
57580,7.783681855,0.043776715,7.697701629,7.754424311,7.783850186,7.8132522,7.869042798
57566,7.789019927,0.044787403,7.701226073,7.759927777,7.789080228,7.818845858,7.876553311
57553,7.793563231,0.044773185,7.704717454,7.76381242,7.794137875,7.823347747,7.88116196
57540,7.799223066,0.043119102,7.71341529,7.770411003,7.799264328,7.828332329,7.883062931
57527,7.805072115,0.039938433,7.726273894,7.778273656,7.805184551,7.83196521,7.882326688
57514,7.81112324,0.035098447,7.741730761,7.787534677,7.81124199,7.835061714,7.879321886
57500,7.817586621,0.026499878,7.764796446,7.799769849,7.81764747,7.835784724,7.868886376
57487,7.807265191,0.035033856,7.737000188,7.783810961,7.80763766,7.831114873,7.874993892
57478,7.801843646,0.03944364,7.722518589,7.77526633,7.802232197,7.828363751,7.878049936
57474,7.799396859,0.040900986,7.717775524,7.772049039,7.799569972,7.826957387,7.879516915
57461,7.791578131,0.044695354,7.703771656,7.761519059,7.792190819,7.821679575,7.877292367
57448,7.786477611,0.047468138,7.693091909,7.754342269,7.786950319,7.818480133,7.879737323
57435,7.782412382,0.049246506,7.686125687,7.748706482,7.782527986,7.815683808,7.879966062
57421,7.780357237,0.049658365,7.683848076,7.746758899,7.780541086,7.813809262,7.877679469
57408,7.77776515,0.049377568,7.680788275,7.744599127,7.777958246,7.811201432,7.874900382
57395,7.774987526,0.047782287,7.680652632,7.742871752,7.775067693,7.807079092,7.869172006
57382,7.775587751,0.045202823,7.68706973,7.744514988,7.776272165,7.806659193,7.863331298
57371,7.774609819,0.042042351,7.691662973,7.746493283,7.775093069,7.802572738,7.857510542
57369,7.77470651,0.041444847,7.693357877,7.746991366,7.775017736,7.802864083,7.856464226
57354,7.772257869,0.034473464,7.704277332,7.749354615,7.772328238,7.795411807,7.839211562
57338,7.770875247,0.022737577,7.725325372,7.755781222,7.771131183,7.786135791,7.814449388
57322,7.769580147,0.033964393,7.702347468,7.746510496,7.769816746,7.792545613,7.83498601
57306,7.770697748,0.039952821,7.692239879,7.743730944,7.770715891,7.797982476,7.848913815
57290,7.773372209,0.042927989,7.688950293,7.744321069,7.773069599,7.802065193,7.858221913
57275,7.774778474,0.04328852,7.68994563,7.745621702,7.774731903,7.804037845,7.860303612
57259,7.780785811,0.040768336,7.699838089,7.753807455,7.78067227,7.808490924,7.861012588
57243,7.787018442,0.035509649,7.717271621,7.763527148,7.787182933,7.81073261,7.856210117
57226,7.795267611,0.024961561,7.745095784,7.778668383,7.795614206,7.812162848,7.84368319
57214,7.789744456,0.03370654,7.722743764,7.767227022,7.790362772,7.812671398,7.854651764
57209,7.787785421,0.036528291,7.715050554,7.763238606,7.788155479,7.812440656,7.858076254
57192,7.781338812,0.042906431,7.695029858,7.752657279,7.78147739,7.810623523,7.864877163
57175,7.777429556,0.046619399,7.686547333,7.745898061,7.777575242,7.808836994,7.867644264
57158,7.775611623,0.04830583,7.680350497,7.742223716,7.776353869,7.808976923,7.868092215
57141,7.773213285,0.048498703,7.677457727,7.740305205,7.773462646,7.806232275,7.866962531
57125,7.771669762,0.046670823,7.679305705,7.740548473,7.772231073,7.803358133,7.861602425
57108,7.773440177,0.042911552,7.687598742,7.744560654,7.773739061,7.802733062,7.857040999
57091,7.776447787,0.036128334,7.705659765,7.752382785,7.776365207,7.800945952,7.846589408
57074,7.780077578,0.025063427,7.730579174,7.763474149,7.780218979,7.796942767,7.828557963
57057,7.780951975,0.037224365,7.708165852,7.756034163,7.780533077,7.805861227,7.853610357
56953,7.795327437,0.064442969,7.668133467,7.752353556,7.795194927,7.837947201,7.922582137
56941,7.797559919,0.065432998,7.669727112,7.75362285,7.797040639,7.841288429,7.927258908
56929,7.799026397,0.066235186,7.669243608,7.755376134,7.797881744,7.844026249,7.928395839
56917,7.80128875,0.066776917,7.670435022,7.756374783,7.800771969,7.845982584,7.93250324
56905,7.805105282,0.067072288,7.675196055,7.759951707,7.804621922,7.850404714,7.937162319
56893,7.808638426,0.067290815,7.679446376,7.763099303,7.807896242,7.854262413,7.941481966
56880,7.813906732,0.067454614,7.682867914,7.767379084,7.813722267,7.859102065,7.946198979
56868,7.817982655,0.067416961,7.687303871,7.771738167,7.817211057,7.863620351,7.949797678
