Species,Size Fraction (um),Leg,Site,Hole,Core,T,Sec,Top (cm),Bottom (cm),mbsf,adjusted rmcd (following off-splice corrections in Westerhold and Rohl 2006 Table T3),Age (Ma; Westerhold et al. 2018),Data Source,d13Cplank
M. velascoensis,300-355,198,1209,A,21,H,5,25,27,194.95,215.05,55.079,"Harper et al., 2024",3.73
M. velascoensis,300-355,198,1209,B,22,H,2,12,13,196.72,218.332,55.096,"Harper et al., 2024",3.82
M. velascoensis,300-355,198,1209,A,21,H,5,45,47,195.15,215.25,55.138,"Harper et al., 2024",3.44
M. velascoensis,300-355,198,1209,A,21,H,5,65,67,195.35,215.45,55.197,"Harper et al., 2024",3.72
M. velascoensis,300-355,198,1209,A,21,H,5,105,107,195.75,215.85,55.332,"Harper et al., 2024",3.7
M. velascoensis,300-355,198,1209,A,21,H,5,115,117,195.85,215.95,55.345,"Harper et al., 2024",3.74
M. velascoensis,300-355,198,1209,A,21,H,5,125,127,195.95,216.05,55.376,"Harper et al., 2024",3.96
M. velascoensis,300-355,198,1209,A,21,H,5,135,137,196.05,216.15,55.411,"Harper et al., 2024",3.6
M. velascoensis,300-355,198,1209,C,11,H,2,105,107,195.55,216.26,55.45,"Harper et al., 2024",3.79
M. velascoensis,300-355,198,1209,C,11,H,2,115,117,195.65,216.36,55.485,"Harper et al., 2024",3.68
M. velascoensis,300-355,198,1209,C,11,H,2,125,127,195.75,216.46,55.52,"Harper et al., 2024",3.84
M. velascoensis,300-355,198,1209,C,11,H,2,145,147,195.95,216.66,55.589,"Harper et al., 2024",3.71
M. velascoensis,300-355,198,1209,C,11,H,3,5,7,196.05,216.76,55.619,"Harper et al., 2024",3.57
M. velascoensis,300-355,198,1209,C,11,H,3,15,17,196.15,216.86,55.649,"Harper et al., 2024",3.86
M. velascoensis,300-355,198,1209,C,11,H,3,25,27,196.25,216.96,55.673,"Harper et al., 2024",4.27
M. velascoensis,300-355,198,1209,C,11,H,3,35,37,196.35,217.06,55.697,"Harper et al., 2024",3.94
M. velascoensis,300-355,198,1209,C,11,H,3,45,47,196.45,217.16,55.722,"Harper et al., 2024",3.52
M. velascoensis,300-355,198,1209,C,11,H,3,55,57,196.55,217.26,55.741,"Harper et al., 2024",3.49
M. velascoensis,300-355,198,1209,C,11,H,3,65,67,196.65,217.36,55.761,"Harper et al., 2024",3.24
M. velascoensis,300-355,198,1209,C,11,H,3,75,77,196.75,217.46,55.781,"Harper et al., 2024",3.34
M. velascoensis,300-355,198,1209,C,11,H,3,85,87,196.85,217.56,55.8,"Harper et al., 2024",3.11
M. velascoensis,300-355,198,1209,C,11,H,3,95,97,196.95,217.66,55.822,"Harper et al., 2024",2.73
M. velascoensis,300-355,198,1209,C,11,H,3,105,107,197.05,217.76,55.853,"Harper et al., 2024",1.74
M. velascoensis,300-355,198,1209,C,11,H,3,115,117,197.15,217.86,55.885,"Harper et al., 2024",1
M. velascoensis,300-355,198,1209,C,11,H,3,125,127,197.25,217.96,55.917,"Harper et al., 2024",3.73
M. velascoensis,300-355,198,1209,C,11,H,3,135,137,197.35,218.06,55.942,"Harper et al., 2024",4.08
M. velascoensis,300-355,198,1209,B,22,H,1,144,145,196.54,218.137,55.959,"Harper et al., 2024",3.94
M. velascoensis,300-355,198,1209,C,11,H,3,145,147,197.45,218.16,55.961,"Harper et al., 2024",4.42
M. velascoensis,300-355,198,1209,B,22,H,1,148,149,196.58,218.18,55.966,"Harper et al., 2024",3.89
M. velascoensis,300-355,198,1209,B,22,H,1,150,151,196.6,218.201,55.97,"Harper et al., 2024",3.91
M. velascoensis,300-355,198,1209,C,11,H,4,5,7,197.55,218.26,55.981,"Harper et al., 2024",4.47
M. velascoensis,300-355,198,1209,B,22,H,2,6,7,196.66,218.267,55.983,"Harper et al., 2024",3.82
M. velascoensis,300-355,198,1209,C,11,H,4,15,17,197.65,218.36,56,"Harper et al., 2024",4.18
M. velascoensis,250-355,198,1209,B,22,H,2,16,17,196.76,218.392,56.007,"Harper et al., 2024",4.15
M. velascoensis,250-355,198,1209,B,22,H,2,21,22,196.81,218.45,56.018,"Harper et al., 2024",3.9
M. velascoensis,300-355,198,1209,C,11,H,4,25,27,197.75,218.46,56.02,"Harper et al., 2024",4.02
M. velascoensis,250-355,198,1209,B,22,H,2,27,28,196.87,218.519,56.032,"Harper et al., 2024",4.19
M. velascoensis,300-355,198,1209,C,11,H,4,35,37,197.85,218.56,56.04,"Harper et al., 2024",3.92
M. velascoensis,250-355,198,1209,B,22,H,2,31,32,196.91,218.565,56.041,"Harper et al., 2024",4.06
M. velascoensis,250-355,198,1209,B,22,H,2,36,37,196.96,218.623,56.052,"Harper et al., 2024",3.95
M. velascoensis,300-355,198,1209,C,11,H,4,45,47,197.95,218.66,56.06,"Harper et al., 2024",3.83
M. velascoensis,250-355,198,1209,B,22,H,2,41,42,197.01,218.68,56.064,"Harper et al., 2024",3.99
M. velascoensis,300-355,198,1209,C,11,H,4,55,57,198.05,218.76,56.079,"Harper et al., 2024",3.24
M. velascoensis,250-355,198,1209,B,22,H,2,51,52,197.11,218.796,56.086,"Harper et al., 2024",4.01
M. velascoensis,250-355,198,1209,B,22,H,2,56,57,197.16,218.853,56.098,"Harper et al., 2024",3.88
M. velascoensis,300-355,198,1209,C,11,H,4,65,67,198.15,218.86,56.099,"Harper et al., 2024",3.27
M. velascoensis,250-355,198,1209,B,22,H,2,61,62,197.21,218.911,56.109,"Harper et al., 2024",3.64
M. velascoensis,300-355,198,1209,C,11,H,4,75,77,198.25,218.96,56.119,"Harper et al., 2024",3.23
M. velascoensis,250-355,198,1209,B,22,H,2,66,67,197.26,218.969,56.12,"Harper et al., 2024",4.01
M. velascoensis,300-355,198,1209,C,11,H,4,85,87,198.35,219.06,56.138,"Harper et al., 2024",3.32
M. velascoensis,300-355,198,1209,C,11,H,5,5,7,199.05,219.76,56.36,"Harper et al., 2024",4.02
M. velascoensis,212-300,198,1209,C,11,H,5,65,67,199.65,220.36,56.555,"Harper et al., 2024",3.79
M. velascoensis,212-300,198,1209,C,11,H,5,75,77,199.75,220.46,56.588,"Harper et al., 2024",3.82
M. velascoensis,300-355,198,1209,B,22,H,3,69,70,198.79,220.5,56.601,"Harper et al., 2024",4.39
M. velascoensis,212-300,198,1209,C,11,H,5,85,87,199.85,220.56,56.621,"Harper et al., 2024",4.24
M. velascoensis,300-355,198,1209,C,11,H,5,105,107,200.05,220.76,56.686,"Harper et al., 2024",4.73
M. velascoensis,300-355,198,1209,C,11,H,5,115,117,200.15,220.86,56.718,"Harper et al., 2024",4.46
M. velascoensis,300-355,198,1209,C,11,H,5,125,127,200.25,220.96,56.752,"Harper et al., 2024",4.5
M. velascoensis,300-355,198,1209,C,11,H,5,135,137,200.35,221.06,56.786,"Harper et al., 2024",4.07
M. velascoensis,300-355,198,1209,C,11,H,5,145,147,200.45,221.16,56.821,"Harper et al., 2024",4.78
M. velascoensis,300-355,198,1209,C,11,H,6,5,7,200.55,221.26,56.856,"Harper et al., 2024",4.36
M. velascoensis,300-355,198,1209,C,11,H,6,15,17,200.65,221.36,56.868,"Harper et al., 2024",4.41
M. velascoensis,300-355,198,1209,C,11,H,6,25,27,200.75,221.46,56.88,"Harper et al., 2024",4.68
M. velascoensis,300-355,198,1209,C,11,H,6,35,37,200.85,221.56,56.893,"Harper et al., 2024",4.63
M. velascoensis,300-355,198,1209,B,22,H,4,35,37,200.05,221.66,56.905,"Harper et al., 2024",4.41
M. velascoensis,300-355,198,1209,C,11,H,6,55,57,201.05,221.76,56.917,"Harper et al., 2024",4.61
M. velascoensis,300-355,198,1209,C,11,H,6,65,67,201.15,221.86,56.929,"Harper et al., 2024",4.73
M. velascoensis,300-355,198,1209,C,11,H,6,75,77,201.25,221.96,56.941,"Harper et al., 2024",4.61
M. velascoensis,300-355,198,1209,C,11,H,6,85,87,201.35,222.06,56.953,"Harper et al., 2024",4.7
M. velascoensis,300-355,198,1209,A,22,H,3,5,7,201.25,222.69,57.057,"Harper et al., 2024",5.04
M. velascoensis,300-355,198,1209,B,22,H,4,148,149,201.18,222.79,57.074,"Harper et al., 2024",4.49
M. velascoensis,300-355,198,1209,A,22,H,3,15,17,201.35,222.79,57.074,"Harper et al., 2024",4.69
M. velascoensis,300-355,198,1209,A,22,H,3,25,27,201.45,222.89,57.091,"Harper et al., 2024",4.77
M. velascoensis,300-355,198,1209,A,22,H,3,35,37,201.55,222.99,57.108,"Harper et al., 2024",4.91
M. velascoensis,300-355,198,1209,A,22,H,3,45,47,201.65,223.09,57.125,"Harper et al., 2024",5.36
M. velascoensis,300-355,198,1209,A,22,H,3,55,57,201.75,223.19,57.141,"Harper et al., 2024",4.87
M. velascoensis,300-355,198,1209,A,22,H,3,65,67,201.85,223.29,57.158,"Harper et al., 2024",4.64
M. velascoensis,300-355,198,1209,A,22,H,3,75,77,201.95,223.39,57.175,"Harper et al., 2024",4.84
M. velascoensis,300-355,198,1209,A,22,H,3,85,87,202.05,223.49,57.192,"Harper et al., 2024",4.78
M. velascoensis,300-355,198,1209,A,22,H,3,95,97,202.15,223.59,57.209,"Harper et al., 2024",4.64
M. velascoensis,300-355,198,1209,B,22,H,5,81,82,202.01,223.62,57.214,"Harper et al., 2024",4.63
M. velascoensis,300-355,198,1209,A,22,H,3,105,107,202.25,223.69,57.226,"Harper et al., 2024",4.44
M. velascoensis,300-355,198,1209,A,22,H,3,115,117,202.35,223.79,57.243,"Harper et al., 2024",4.86
M. velascoensis,300-355,198,1209,A,22,H,3,125,127,202.45,223.89,57.259,"Harper et al., 2024",4.34
M. velascoensis,300-355,198,1209,A,22,H,3,135,137,202.55,223.99,57.275,"Harper et al., 2024",4.6
M. velascoensis,300-355,198,1209,A,22,H,3,145,147,202.65,224.09,57.29,"Harper et al., 2024",4.57
M. velascoensis,300-355,198,1209,A,22,H,4,5,7,202.75,224.19,57.306,"Harper et al., 2024",5.32
M. velascoensis,300-355,198,1209,A,22,H,4,15,17,202.85,224.29,57.322,"Harper et al., 2024",4.96
M. velascoensis,300-355,198,1209,A,22,H,4,25,27,202.95,224.39,57.338,"Harper et al., 2024",4.8
M. velascoensis,300-355,198,1209,A,22,H,4,35,37,203.05,224.49,57.354,"Harper et al., 2024",4.91
M. velascoensis,300-355,198,1209,A,22,H,4,45,47,203.15,224.59,57.369,"Harper et al., 2024",4.34
M. velascoensis,300-355,198,1209,B,22,H,6,12,13,203,224.61,57.371,"Harper et al., 2024",4.36
M. velascoensis,300-355,198,1209,A,22,H,4,55,57,203.25,224.69,57.382,"Harper et al., 2024",4.23
M. velascoensis,300-355,198,1209,A,22,H,4,65,67,203.35,224.79,57.395,"Harper et al., 2024",4.83
M. velascoensis,300-355,198,1209,A,22,H,4,75,77,203.45,224.89,57.408,"Harper et al., 2024",4.75
M. velascoensis,300-355,198,1209,A,22,H,4,85,87,203.55,224.99,57.421,"Harper et al., 2024",4.8
M. velascoensis,300-355,198,1209,A,22,H,4,95,97,203.65,225.09,57.435,"Harper et al., 2024",4.89
M. velascoensis,300-355,198,1209,A,22,H,4,105,107,203.75,225.19,57.448,"Harper et al., 2024",4.67
M. velascoensis,300-355,198,1209,A,22,H,4,115,117,203.85,225.29,57.461,"Harper et al., 2024",5.12
M. velascoensis,300-355,198,1209,A,22,H,4,125,127,203.95,225.39,57.474,"Harper et al., 2024",4.88
M. velascoensis,300-355,198,1209,B,22,H,6,111,112,203.81,225.42,57.478,"Harper et al., 2024",4.56
M. velascoensis,300-355,198,1209,A,22,H,4,135,137,204.05,225.49,57.487,"Harper et al., 2024",4.98
M. velascoensis,300-355,198,1209,A,22,H,4,145,147,204.15,225.59,57.5,"Harper et al., 2024",5.14
M. velascoensis,300-355,198,1209,A,22,H,5,5,7,204.25,225.69,57.514,"Harper et al., 2024",4.99
M. velascoensis,300-355,198,1209,A,22,H,5,15,17,204.35,225.79,57.527,"Harper et al., 2024",4.5
M. velascoensis,300-355,198,1209,A,22,H,5,35,37,204.55,225.99,57.553,"Harper et al., 2024",5.05
M. velascoensis,300-355,198,1209,A,22,H,5,45,47,204.65,226.09,57.566,"Harper et al., 2024",4.65
M. velascoensis,300-355,198,1209,A,22,H,5,55,57,204.75,226.19,57.58,"Harper et al., 2024",4.88
M. velascoensis,300-355,198,1209,A,22,H,5,65,67,204.85,226.29,57.593,"Harper et al., 2024",5.18
M. velascoensis,300-355,198,1209,A,22,H,5,75,77,204.95,226.39,57.606,"Harper et al., 2024",4.82
M. velascoensis,300-355,198,1209,A,22,H,5,85,87,205.05,226.49,57.619,"Harper et al., 2024",4.86
M. velascoensis,300-355,198,1209,A,22,H,5,95,97,205.15,226.59,57.632,"Harper et al., 2024",5.11
M. velascoensis,300-355,198,1209,A,22,H,5,105,107,205.25,226.69,57.645,"Harper et al., 2024",4.61
M. velascoensis,300-355,198,1209,A,22,H,5,115,117,205.35,226.79,57.659,"Harper et al., 2024",4.84
M. velascoensis,300-355,198,1209,A,22,H,5,125,127,205.45,226.89,57.673,"Harper et al., 2024",4.69
