age,mean,sd,2.50%,25%,50%,75%,97.50%
58776,928.9788951,50.78212971,830.2335151,895.0400162,928.5418092,962.7652183,1029.982677
58759,911.8019526,80.48977364,766.2837156,855.5651534,908.2478091,963.9139861,1076.520094
58741,887.9054291,96.1126571,712.1774871,821.7468152,882.0824318,949.3224045,1091.784029
58724,873.8630808,105.2785891,682.9430349,800.3268561,868.0943814,941.5487525,1095.733654
58706,853.7726707,108.2844517,659.6149933,778.2951392,847.3614932,923.3926582,1084.325013
58688,831.1484586,105.9492313,642.3293897,756.4124478,824.5321143,899.1686796,1054.257261
58671,810.5662292,102.257629,627.1085926,738.0723221,805.1547755,875.8753758,1024.590017
58654,788.6848797,92.94808889,620.5230429,723.731782,783.1325216,848.5259299,983.2065788
58638,774.0342769,82.21036519,624.747821,717.0928864,770.7858966,826.3311739,947.559589
58621,766.17289,63.68796283,647.8446802,722.1127777,763.6449267,807.8193973,897.4290767
58605,783.3957476,82.78360136,631.9836965,725.9514678,779.7692213,837.7065727,957.3687563
58589,801.5978581,96.926192,626.5064807,735.2610328,796.3909081,862.7495137,1006.236465
58571,828.2250006,109.0449534,634.1895539,753.1716166,821.8833735,897.4504663,1061.436868
58553,851.339007,117.1383263,642.517418,769.0492735,844.5039629,926.1413399,1104.978391
58534,874.9988431,123.5643856,657.6268276,788.4198583,867.2889395,951.0300434,1143.118839
58516,903.7276237,126.4688303,678.4337758,816.0769909,895.5280468,981.3574801,1175.194466
58497,930.5910444,124.2963807,706.2326902,844.2541653,922.5851246,1008.974223,1191.936511
58479,966.5492721,119.1124653,754.5811138,882.1310729,960.9437631,1041.465274,1220.357021
58460,1001.551744,108.104331,808.4199499,925.8929415,995.9124079,1069.422415,1229.33071
58441,1036.818801,87.67557227,874.3008928,976.5307947,1033.229671,1092.98675,1222.653488
58421,1018.267252,111.7850927,818.1194456,940.988793,1012.223654,1088.369253,1255.511874
58402,1001.339763,123.6196173,781.9947632,914.9369663,993.6589743,1078.423125,1264.992709
58383,985.5458075,128.8371244,753.887971,894.7491432,976.8690109,1066.146839,1261.287931
58363,969.0483829,129.6022346,739.7065141,878.2742375,960.5756172,1050.763753,1243.005951
58344,950.3834171,124.4161863,729.8839814,863.8487326,941.6466136,1029.246753,1219.36704
58328,937.5824172,117.8174756,727.3818285,855.2940351,930.954178,1010.925352,1190.686489
58324,937.4542307,115.0005926,731.3810995,856.8901409,930.7394059,1008.932012,1183.593204
58309,915.8684019,103.1510254,730.7379281,844.8204783,908.9206573,980.7581043,1135.563089
58305,917.5263533,98.71832712,738.341468,847.899277,912.8882127,981.7478006,1120.656197
58288,900.053605,75.94101711,760.4497312,847.1314245,897.0267661,949.8505407,1054.691856
58286,902.1093069,72.78831577,765.9661953,852.2822226,898.875305,950.2832478,1052.671558
58283,900.175494,77.23170118,759.6350332,846.4586073,895.9070593,950.0502161,1061.35124
58279,899.2309256,83.64007694,747.055031,840.8922483,895.032376,953.9807396,1074.867344
58268,889.4604063,94.84448461,717.8139829,822.320766,884.3896244,950.7946293,1091.016959
58266,890.8264312,97.3481749,714.8724862,822.1430624,884.8154406,953.565425,1094.220861
58257,894.260768,104.4229726,709.3848957,820.9113093,887.2692959,962.2754333,1116.985274
58249,894.139089,110.4817693,697.3562247,816.7859887,887.8265769,963.8588468,1125.275961
58248,896.8243989,111.3574533,696.1193672,818.6925858,891.1162738,967.3765627,1133.398469
58247,898.1750307,111.4655283,699.5513304,819.7017579,892.1265983,968.3271517,1140.207626
58240,899.4944813,115.6463578,696.0690859,818.6760555,892.0848051,971.6940082,1147.697095
58235,895.989337,117.6399827,688.7656698,813.5298643,889.0375653,969.0043008,1149.446607
58229,895.6946249,119.1582792,684.1234576,812.3748401,887.4576039,971.599775,1148.241418
58228,897.4193604,119.4955048,684.503848,814.3088069,889.3055003,971.6294522,1155.01676
58224,893.6417695,121.1169919,678.6988133,809.3360297,885.7398712,967.88537,1149.999873
58218,893.2360642,122.2251106,675.4350385,807.7018084,884.1148874,969.7525732,1153.719836
58210,889.878847,121.9930271,674.2118306,804.354147,881.1113632,965.5156976,1152.432763
58208,889.3158906,121.2310801,674.722245,804.197858,881.145573,966.5973891,1149.893481
58202,887.8097574,120.9519284,672.2251462,803.6487541,880.4155637,963.2572413,1149.439162
58197,884.9712782,119.6179532,671.8637867,801.5607198,876.6909089,960.8348847,1140.952043
58192,885.1809371,118.7134453,674.6894824,801.8267021,878.6554103,960.6254551,1134.786135
58191,880.8380151,119.2679533,669.6638791,796.6345723,873.0792201,956.0421318,1134.195508
58189,886.46817,118.6702225,679.215185,803.647889,878.9578488,960.9018272,1138.958586
58179,881.8973054,117.2297221,674.7796151,800.1468691,874.2203894,955.8851508,1128.911005
58173,879.0967745,114.4461286,677.7788725,798.0372985,872.8699584,952.186822,1121.036916
58171,882.9419407,113.6728887,681.922776,802.9551669,875.8067648,953.9581881,1123.463695
58169,883.8046597,112.3713,684.7210802,805.1873185,877.9859241,955.2651952,1126.913068
58162,879.4084827,108.1565407,684.8834674,803.6927186,872.8950299,947.5483736,1110.090733
58154,875.6756083,102.1553114,692.522679,804.106841,869.475668,941.3678493,1088.029283
58153,878.7455171,101.998078,694.4228866,807.8033927,873.4099207,943.6820727,1093.295216
58150,881.1006281,99.59702079,701.4984942,811.6297474,875.1385609,945.3648028,1094.772065
58149,879.7710176,98.1143925,702.1860008,812.2092651,874.0706023,942.1874175,1085.454316
58136,882.0927218,85.26433621,726.717585,821.8046644,877.2006655,937.9554876,1056.537057
58133,884.7545438,81.42080409,736.9235309,828.1036132,880.9918973,937.4448285,1053.959636
58131,885.4511684,82.48445962,734.3474283,828.5057854,882.4125092,938.2077108,1057.961769
58128,883.2499066,82.93857313,731.2767995,825.9358602,878.5802848,936.867692,1057.323551
58119,895.1154915,83.01324896,741.6047842,837.6807607,891.9655991,948.6880523,1066.912028
58116,895.3492085,81.40413681,745.5489757,839.1325348,891.9737429,947.8258255,1064.837882
58113,900.5625824,79.98480929,754.136062,844.3837882,896.8827193,951.7631996,1067.220377
58112,899.5639465,79.14859416,754.0770503,844.4701479,897.1248291,950.525226,1064.220907
58110,901.9669165,77.50869145,759.1600662,848.6873757,898.8278939,952.5920815,1062.631514
58102,911.0698063,67.21563544,786.3439907,864.0452777,909.1191155,955.261002,1049.005803
58101,915.4576545,66.80000654,791.4716152,868.706113,913.2877962,960.0408558,1051.366804
58099,951.9976377,70.14153439,820.4793776,903.5390683,948.9231004,998.199452,1096.163435
58096,1000.694685,77.24272919,859.784219,946.5919227,996.6732088,1051.910399,1159.212855
58091,1083.188138,84.54226739,925.1270213,1024.697971,1080.578736,1138.728699,1256.767777
58086,1172.10538,86.39576769,1011.112337,1111.571214,1169.27708,1228.511509,1352.257362
58081,1204.752646,89.84250525,1036.163237,1143.539249,1201.341196,1262.887985,1388.408149
58074,1098.61071,87.6022741,937.7206165,1038.600882,1095.034064,1155.335806,1279.874799
58073,1080.69412,85.92043593,922.8751979,1021.040503,1077.679681,1137.662362,1257.329448
58071,1053.355865,81.85593119,901.7074218,996.6056167,1050.040732,1106.504219,1221.485636
58068,1009.947893,75.43055173,869.5174186,957.4893472,1007.256034,1060.428272,1164.200938
58064,982.3641239,73.41839546,846.2275515,930.938634,980.7120599,1030.849137,1131.505502
58057,953.3134068,78.30463784,806.8005136,899.3875626,950.6291483,1004.608218,1113.507522
58045,897.126543,68.34734814,769.453081,849.4165277,895.2465404,942.3874271,1036.383855
58043,901.9590305,71.19476694,767.7532256,852.5332903,900.2451111,948.3704208,1046.109631
58029,895.9278198,85.51523583,737.3724466,836.2118045,892.7363132,950.6812359,1070.480631
58015,884.8711168,89.44889181,721.217887,822.2891525,881.6347105,942.3183636,1070.083994
58001,883.3153651,85.69749275,727.4221449,823.6539328,879.5230591,938.2499493,1062.952243
57990,882.5197765,75.93093632,740.824322,830.0096113,880.0946884,931.9283775,1038.89076
57987,882.6472913,71.41128868,750.586265,833.5146463,879.9935972,927.8636545,1031.326188
57976,881.0541171,86.27021143,723.9743118,820.2594263,878.229805,937.0273016,1060.815265
57973,881.7230823,89.87820643,718.6472981,819.6119761,877.3352875,939.0034721,1066.59932
57962,875.5992351,99.19243012,695.9306724,806.5270209,870.2096821,938.9278718,1086.160413
57959,878.5482739,102.1703542,691.8256637,808.1819832,873.7903315,943.4843551,1094.898575
57945,869.1822684,109.7702276,672.761555,792.6320674,862.9667502,938.1714587,1099.832904
57931,863.8973347,115.688144,656.4733243,780.7335571,857.041797,936.7012931,1110.319208
57917,858.6937208,118.0162798,646.9732501,777.4446982,851.7565511,932.139233,1112.405851
57903,854.0234801,119.9465407,637.3416945,771.0434636,847.0997388,930.0868614,1108.281879
