age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,38.25108235,0.452018425,37.36085711,37.94489645,38.24854594,38.55910363,39.13004135,1.002346386,3300
58759,38.25108143,0.452018918,37.3607225,37.9449069,38.24869666,38.55903709,39.13064057,1.002346863,3300
58741,38.25108555,0.452023918,37.36113438,37.94465424,38.24857095,38.55923726,39.13022127,1.002347044,3300
58724,38.25108515,0.452020797,37.36181228,37.94499475,38.24873723,38.5592862,39.13059699,1.002346444,3300
58706,38.25108508,0.452017255,37.36116414,37.94471498,38.24862311,38.55894532,39.13036719,1.002346152,3300
58688,38.25107976,0.452020303,37.3610345,37.94445172,38.24865157,38.55897812,39.13014285,1.002345746,3300
58671,38.25108399,0.452021025,37.3611627,37.9447749,38.24851608,38.55891654,39.12989452,1.002346535,3300
58654,38.25107675,0.452016388,37.3613262,37.94469349,38.24855725,38.55928622,39.13025899,1.002345562,3300
58638,38.25108491,0.452020389,37.36119152,37.94480539,38.24856027,38.55902468,39.1301749,1.002344239,3300
58621,38.25109369,0.452020326,37.36110945,37.94472544,38.24862519,38.55932618,39.1296273,1.002346631,3300
58605,38.25108558,0.452017875,37.36151472,37.9448223,38.24872821,38.55916005,39.12990304,1.002347538,3300
58589,38.25108202,0.452028359,37.36098338,37.94486507,38.24848405,38.55921722,39.13004574,1.002346643,3300
58571,38.25108843,0.452025956,37.36176667,37.94490112,38.24853459,38.55902055,39.13030911,1.002346944,3300
58553,38.25109397,0.452015526,37.36085412,37.94497941,38.24875136,38.55915453,39.13041892,1.002345263,3300
58534,38.25109262,0.452016586,37.36132497,37.94497279,38.24895587,38.55922617,39.13059245,1.00234604,3300
58516,38.2510819,0.452020629,37.36115832,37.94499699,38.24882806,38.55913552,39.13094591,1.002345399,3300
58497,38.25108429,0.45201322,37.36129993,37.94499744,38.24880474,38.55922239,39.13026616,1.002345747,3300
58479,38.25109258,0.452016541,37.36146387,37.94475921,38.24856332,38.55942391,39.1297764,1.002345884,3300
58460,38.25109141,0.452024127,37.36113934,37.94496726,38.24881589,38.55894529,39.12975114,1.002345269,3300
58441,38.25108085,0.452016417,37.36110538,37.94495881,38.2490696,38.55898998,39.13040096,1.002346274,3300
58421,38.25108037,0.45201033,37.36070206,37.9449708,38.24857525,38.55939533,39.12995838,1.002345455,3300
58402,38.25107518,0.452012262,37.36142688,37.94470534,38.24826755,38.55925713,39.13030629,1.002345491,3300
58383,38.25107565,0.452018364,37.36102796,37.94485704,38.24868429,38.55900539,39.13019622,1.00234711,3300
58363,38.25108803,0.452021258,37.36087258,37.94495366,38.24848054,38.55902677,39.13046715,1.002345918,3300
58344,38.25107671,0.452015668,37.36132893,37.94511962,38.24873074,38.55872185,39.13001066,1.002345727,3300
58328,38.25107777,0.452025779,37.3610089,37.94515253,38.24861598,38.55864412,39.13065159,1.002345118,3300
58324,38.25108519,0.452021283,37.36134824,37.94484415,38.24866117,38.55904532,39.1302716,1.002344874,3300
58309,38.25108576,0.452021279,37.36157589,37.9447944,38.24864044,38.55899777,39.13040736,1.002345755,3300
58305,38.25108777,0.452019677,37.36133305,37.9450613,38.24843955,38.55936456,39.1303746,1.002345653,3300
58288,38.25108741,0.452019023,37.36109927,37.94493088,38.24860646,38.55947017,39.13107402,1.002346332,3300
58286,38.25108673,0.452020182,37.36143959,37.9448783,38.24844059,38.55921981,39.13076465,1.00234688,3300
58283,38.25109049,0.452022715,37.36179297,37.94477243,38.24859171,38.55920788,39.13035786,1.002346094,3300
58279,38.25109511,0.452020513,37.3609484,37.94478093,38.24880495,38.55922496,39.13072277,1.002345762,3300
58268,38.25109589,0.452020339,37.36189361,37.94487652,38.2488878,38.55911246,39.13041254,1.002345728,3300
58266,38.25109372,0.452017541,37.36121418,37.94480314,38.24872156,38.55915193,39.13043,1.002345298,3300
