age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,-1.175751111,0.097439561,-1.366449863,-1.241811567,-1.175772388,-1.109884312,-0.984227309,1.001928063,4600
58759,-1.17575298,0.097453043,-1.366384386,-1.242190786,-1.175634031,-1.109897011,-0.983858343,1.001928971,4600
58741,-1.175758805,0.097467279,-1.366629168,-1.241726851,-1.175795735,-1.109803322,-0.984326244,1.001928697,4600
58724,-1.175746555,0.097453907,-1.366368365,-1.242179422,-1.175586538,-1.109942304,-0.984049808,1.001931777,4600
58706,-1.175733021,0.09744857,-1.366742563,-1.24188717,-1.175626753,-1.109788393,-0.984159968,1.001929391,4600
58688,-1.175745591,0.09746935,-1.366601572,-1.241699883,-1.175746791,-1.109835857,-0.984096986,1.001922932,4600
58671,-1.175705903,0.097455963,-1.366361399,-1.24172957,-1.175539341,-1.10976537,-0.984106932,1.001925031,4600
58654,-1.175731351,0.09745318,-1.366324114,-1.241938435,-1.175445578,-1.109893875,-0.9843875,1.001924468,4600
58638,-1.175710583,0.09743421,-1.366375689,-1.241816365,-1.1755923,-1.109845055,-0.984294947,1.001938267,4500
58621,-1.175740951,0.09744854,-1.366468367,-1.24198142,-1.175644948,-1.109784318,-0.984425501,1.001930392,4600
58605,-1.17575457,0.097461901,-1.366422872,-1.241884273,-1.17567545,-1.109817031,-0.98418808,1.001932379,4600
58589,-1.175746197,0.097455438,-1.366741137,-1.241872743,-1.175733237,-1.109784769,-0.983988089,1.001924537,4600
58571,-1.175747531,0.09747542,-1.36668207,-1.241847152,-1.175661513,-1.109730415,-0.984580834,1.001926372,4600
58553,-1.175739932,0.097468408,-1.366320835,-1.241691626,-1.175554639,-1.109878215,-0.983592966,1.00191992,4600
58534,-1.175731423,0.097460571,-1.366784245,-1.241894908,-1.175585058,-1.109947305,-0.984288075,1.001926226,4600
58516,-1.175749342,0.097438953,-1.366742414,-1.241922319,-1.175692937,-1.109781752,-0.984712758,1.001928843,4600
58497,-1.175729421,0.097448932,-1.366618711,-1.241839357,-1.175571099,-1.109821486,-0.984369865,1.001924526,4600
58479,-1.175743924,0.097456206,-1.366708073,-1.241848207,-1.175735218,-1.109837368,-0.984036015,1.001915382,4600
58460,-1.175758259,0.097461337,-1.36694224,-1.241858582,-1.175514832,-1.109748711,-0.98380751,1.001925141,4600
58441,-1.17575553,0.097462897,-1.366870616,-1.241839212,-1.175528413,-1.10982911,-0.984195496,1.001925583,4600
58421,-1.175734055,0.097456497,-1.366945241,-1.241864797,-1.175457283,-1.109662024,-0.984007147,1.001920678,4600
58402,-1.175764153,0.097478266,-1.366496559,-1.241939874,-1.175933781,-1.109827131,-0.983695749,1.001917939,4600
58383,-1.17577191,0.09744479,-1.366299377,-1.241734189,-1.17557148,-1.1098974,-0.984047603,1.001914467,4600
58363,-1.17576177,0.097450495,-1.366440259,-1.242013971,-1.175688772,-1.109825878,-0.984062921,1.001921691,4600
58344,-1.17573805,0.097462531,-1.366352203,-1.241921606,-1.175801781,-1.109761672,-0.984027415,1.001911344,4600
58328,-1.175735059,0.097452037,-1.366914304,-1.242026884,-1.175604853,-1.109990385,-0.984066614,1.00193353,4500
