age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,0.002024616,0.000106322,0.001816157,0.001952931,0.002024012,0.002096446,0.002232747,1.001037076,24000
58759,0.002024133,0.00010512,0.001818881,0.001951747,0.002023744,0.002097199,0.002231835,1.000932701,27000
58741,0.002024477,0.000104285,0.001821103,0.001953289,0.002024817,0.002096075,0.002228615,1.00088864,27000
58724,0.002025617,0.000103974,0.001818811,0.001954634,0.002025741,0.002096666,0.00222949,1.000970947,27000
58706,0.002026499,0.000104233,0.001822481,0.001954961,0.002026354,0.002097307,0.002232025,1.001001535,27000
58688,0.002026084,0.000103292,0.001822058,0.001955401,0.002026749,0.002096722,0.002226581,1.000891723,27000
58671,0.00202598,0.000104068,0.001821332,0.001954553,0.002026316,0.002096349,0.002231017,1.001100837,19000
58654,0.002026141,0.000103999,0.001825311,0.001953846,0.002025439,0.002098015,0.002231099,1.00129841,11000
58638,0.002026091,0.00010439,0.001820685,0.001954959,0.002026467,0.002097253,0.002229849,1.000992701,27000
58621,0.002025986,0.000103066,0.001826117,0.00195516,0.002025336,0.002096061,0.002228679,1.001075955,20000
58605,0.002026963,0.000104124,0.001824273,0.001955189,0.0020259,0.00209773,0.00223291,1.001058097,22000
58589,0.002026878,0.000103425,0.00182536,0.00195559,0.002026361,0.002097987,0.002228644,1.001047176,23000
58571,0.002028693,0.000104067,0.001825692,0.00195729,0.002028508,0.00209987,0.002233811,1.000972611,27000
58553,0.00202783,0.000103504,0.001824307,0.001956794,0.002027645,0.00209929,0.002231566,1.001026685,26000
58534,0.002026508,0.000104277,0.001823977,0.001954287,0.002026628,0.002098078,0.002232473,1.001053407,23000
58516,0.002027997,0.000103738,0.001824087,0.001957203,0.002027696,0.002099317,0.002231518,1.000956512,27000
58497,0.002027977,0.000103589,0.001823369,0.001956954,0.002028221,0.002098786,0.0022304,1.000901511,27000
58479,0.002029471,0.000104519,0.001825303,0.001957531,0.002029486,0.002101228,0.00223534,1.001170489,15000
58460,0.002028898,0.000104568,0.001823622,0.001956697,0.002028586,0.002100063,0.002237205,1.000959719,27000
58441,0.002029423,0.000103072,0.001827738,0.001959033,0.0020295,0.002100947,0.00223116,1.000942076,27000
58421,0.002029051,0.000103028,0.001823821,0.001958883,0.002029412,0.002099294,0.002231134,1.000934401,27000
58402,0.00202977,0.000104263,0.001824878,0.001958597,0.002029659,0.00210182,0.002232759,1.001082445,20000
58383,0.002028189,0.000103319,0.001826846,0.001956951,0.002028295,0.002099393,0.002231696,1.001075034,21000
58363,0.002029023,0.000104367,0.001824176,0.001957556,0.002029372,0.002100675,0.002231815,1.001009917,27000
58344,0.002029304,0.000103715,0.001822972,0.001959092,0.002029165,0.002099171,0.002234735,1.000980026,27000
58328,0.002030475,0.000104649,0.001823839,0.001958939,0.002029973,0.002102796,0.002235658,1.001066235,21000
58324,0.002029963,0.000103023,0.001825731,0.001959495,0.002030555,0.002100836,0.002232279,1.001016531,27000
58309,0.00202972,0.000104144,0.001827708,0.001957769,0.002028703,0.002101104,0.002235692,1.000925588,27000
58305,0.002030234,0.000103022,0.001827404,0.001959525,0.002029716,0.002101447,0.002232346,1.001041861,24000
58288,0.002029664,0.000103317,0.001824511,0.001959099,0.002030182,0.002100385,0.002232419,1.001077994,20000
58286,0.002029934,0.000103853,0.001827482,0.001958359,0.002029446,0.002101567,0.002233367,1.000961249,27000
58283,0.002030681,0.00010403,0.001826131,0.001960317,0.002030456,0.002101832,0.002233762,1.000980521,27000
58279,0.002031437,0.000104153,0.001825262,0.001960308,0.002031734,0.00210355,0.002236382,1.001119229,17000
58268,0.002030778,0.000103406,0.001828468,0.001959732,0.002029935,0.00210101,0.002235301,1.00103145,25000
58266,0.002029952,0.000103251,0.001827531,0.001959571,0.002029618,0.002100729,0.002233502,1.001108175,18000
58257,0.002030046,0.000104272,0.001826175,0.00195864,0.002029506,0.002101797,0.002233281,1.000950205,27000
58249,0.002030948,0.000103563,0.001827066,0.001959958,0.002030788,0.002101542,0.002236312,1.000932256,27000
58248,0.002030979,0.000103738,0.001827966,0.001960411,0.002030222,0.002101289,0.002236325,1.000928741,27000
58247,0.002030552,0.000103524,0.001827921,0.001958968,0.002030501,0.002101645,0.002236671,1.001365579,9400
58240,0.002029754,0.000104114,0.001826332,0.001958223,0.002029705,0.002101572,0.002233409,1.000934084,27000
58235,0.002030202,0.000103482,0.00182654,0.001959357,0.002029777,0.002101392,0.00223304,1.000912197,27000
58229,0.002030225,0.00010421,0.00182578,0.001958883,0.002030172,0.002101076,0.002234918,1.001035961,24000
58228,0.00203167,0.000103589,0.001826906,0.001961549,0.002030683,0.002102736,0.00223462,1.000996416,27000
58224,0.002030778,0.000103812,0.001828371,0.001960205,0.002029421,0.002101431,0.002238151,1.001066735,21000
58218,0.002031622,0.000103458,0.001828501,0.001960712,0.002031162,0.002102157,0.002236575,1.001072779,21000
58210,0.002030333,0.000102808,0.001828329,0.0019603,0.00203065,0.002100968,0.002232844,1.000970297,27000
58208,0.002030555,0.000104383,0.001825113,0.0019594,0.002031124,0.002101412,0.002235198,1.001021372,26000
58202,0.002032107,0.000103508,0.001828772,0.001960879,0.002031929,0.002103294,0.002236652,1.000898267,27000
58197,0.002032174,0.000103865,0.001826822,0.001961295,0.002033269,0.002103834,0.002233474,1.000975021,27000
58192,0.00203056,0.000103275,0.001828522,0.001959539,0.002030956,0.0021018,0.002232089,1.000976238,27000
58191,0.002031954,0.000104182,0.001828122,0.001960248,0.002032168,0.002103775,0.002236496,1.000974971,27000
58189,0.002031674,0.000104557,0.001825237,0.001959792,0.002032081,0.002103713,0.002235716,1.000945146,27000
58179,0.002031246,0.000103941,0.001828147,0.001960459,0.002030194,0.002102526,0.002235401,1.001275912,11000
58173,0.002030878,0.000103381,0.00182887,0.001959814,0.002031518,0.002101224,0.002234822,1.00091033,27000
58171,0.002032589,0.000103816,0.001830422,0.001961005,0.002032506,0.002105383,0.002235356,1.00092458,27000
58169,0.002032699,0.0001043,0.001826532,0.001961836,0.002033123,0.002104322,0.002236843,1.001106026,18000
58162,0.002031437,0.000104039,0.00182776,0.001959541,0.002031366,0.002102677,0.002237863,1.000976131,27000
58154,0.002031608,0.000103319,0.00183049,0.001960795,0.0020311,0.00210119,0.002236418,1.001092986,19000
58153,0.002032356,0.000102754,0.001830813,0.001962185,0.002032347,0.002103891,0.002231046,1.001079955,20000
58150,0.002032061,0.000104342,0.001826269,0.001959692,0.002032361,0.002104109,0.00223638,1.001154891,15000
58149,0.002031742,0.000103866,0.001825575,0.001960106,0.002031478,0.002103343,0.002234388,1.001035974,24000
58136,0.00203284,0.000103621,0.001827848,0.001961761,0.00203344,0.002104818,0.002234531,1.000965635,27000
58133,0.002031672,0.000103259,0.001827952,0.001961086,0.002031699,0.002102925,0.002234447,1.001072315,21000
58131,0.002031981,0.000103026,0.001829808,0.001961272,0.002031971,0.002103288,0.00223211,1.000922776,27000
58128,0.002032448,0.000104155,0.001826933,0.001960967,0.002033051,0.002104094,0.002234535,1.000960714,27000
58119,0.002033528,0.000104291,0.00182628,0.001962635,0.002034235,0.002105382,0.002236932,1.000936743,27000
58116,0.002031315,0.000103173,0.001828024,0.001959695,0.002031403,0.002102379,0.002234421,1.000879589,27000
58113,0.002031137,0.000104004,0.001827707,0.001959941,0.002031198,0.002102365,0.002235306,1.000887053,27000
