age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,0.000922807,5.08E-05,0.000824149,0.000888464,0.000921983,0.000956573,0.001024078,1.001093524,19000
58759,0.000907791,7.21E-05,0.000773933,0.000857566,0.00090542,0.000954772,0.001056816,1.001268962,11000
58741,0.000887574,8.50E-05,0.000731841,0.000828692,0.000884367,0.000942378,0.001064776,1.001374008,9200
58724,0.000873965,9.12E-05,0.000706813,0.000809952,0.000869421,0.000933536,0.001064359,1.001184527,14000
58706,0.000857461,9.40E-05,0.00068715,0.000792153,0.000852782,0.000918389,0.001054882,1.001221416,13000
58688,0.000839771,9.37E-05,0.000669546,0.000774977,0.000835373,0.000899106,0.001038543,1.001301135,11000
58671,0.000823324,9.02E-05,0.000659968,0.000760293,0.000819162,0.000881208,0.001011483,1.001559773,6900
58654,0.000805386,8.49E-05,0.00065094,0.000746611,0.000801365,0.00085932,0.000984592,1.001550355,7000
58638,0.000788195,7.66E-05,0.000648258,0.000735439,0.000784402,0.000837842,0.000950351,1.002761033,2600
58621,0.000771473,6.39E-05,0.000653774,0.000726523,0.000769166,0.000812827,0.000903691,1.003742,1700
58605,0.0007931,7.83E-05,0.000650869,0.000738528,0.000789366,0.000843231,0.000957307,1.002884938,2400
58589,0.000814903,8.88E-05,0.00065308,0.000752381,0.00081121,0.000871615,0.001000232,1.002412281,3200
58571,0.000840664,9.87E-05,0.000663079,0.000771248,0.000835335,0.000903398,0.001049142,1.002261137,3500
58553,0.000864148,0.000106112,0.000674725,0.00078941,0.000858432,0.000932284,0.001088442,1.002369068,3300
58534,0.000888957,0.000111387,0.00068916,0.000810095,0.000882646,0.000960261,0.001123373,1.002715444,2700
58516,0.000914633,0.000113454,0.000713683,0.000834326,0.000908073,0.000987728,0.001155788,1.002734759,2600
58497,0.000940154,0.00011213,0.000736688,0.000862161,0.000934328,0.001011185,0.001177253,1.002911443,2400
58479,0.000968114,0.000109504,0.000771139,0.000891598,0.000962316,0.001039071,0.001200065,1.002833541,2500
58460,0.000993696,0.000100677,0.00081129,0.000922983,0.000988919,0.001059001,0.001203046,1.004115693,1500
58441,0.001020688,8.55E-05,0.000864129,0.000961645,0.001016963,0.001075298,0.001200146,1.004906531,1200
58421,0.001005774,0.000101089,0.000820313,0.000936375,0.001000629,0.00107094,0.001217673,1.003500561,1900
58402,0.000989756,0.000109707,0.000791283,0.000913402,0.000984556,0.00105931,0.001221586,1.003042031,2300
58383,0.00097553,0.000113213,0.000771206,0.000896354,0.000969129,0.001047801,0.001217464,1.002757575,2600
58363,0.00096026,0.000113105,0.000756269,0.000881067,0.000953569,0.001032047,0.001200991,1.00262706,2800
58344,0.000943394,0.000109621,0.000746975,0.00086753,0.000936367,0.001013046,0.001174075,1.002605188,2800
58328,0.000929266,0.000103519,0.00074186,0.000856876,0.000924159,0.000995012,0.00114601,1.002666954,2700
58324,0.00092794,0.000101442,0.000742988,0.000857234,0.000923523,0.000993141,0.001141197,1.003169069,2100
58309,0.000910192,9.19E-05,0.000744378,0.000846242,0.000905687,0.000969252,0.00110414,1.003775746,1700
58305,0.00091196,8.94E-05,0.0007498,0.000848813,0.000907974,0.000969405,0.001098906,1.004011171,1600
58288,0.000893953,7.39E-05,0.000758349,0.000842612,0.000890978,0.000942161,0.001046901,1.005301744,1100
58286,0.000895442,7.15E-05,0.000762797,0.000846158,0.000892219,0.000942196,0.001043494,1.005901186,990
58283,0.000895698,7.48E-05,0.000757527,0.00084387,0.000892987,0.000944361,0.001048656,1.005098492,1200
58279,0.000895113,7.81E-05,0.000750389,0.000840613,0.00089255,0.000946388,0.001055141,1.004559446,1300
58268,0.000891552,8.66E-05,0.000731887,0.000832128,0.000887972,0.000946586,0.001074191,1.004469543,1400
58266,0.000892786,8.82E-05,0.000731029,0.000831522,0.00088858,0.000949422,0.001077194,1.005207129,1200
58257,0.000893193,9.37E-05,0.000721206,0.000828426,0.000889795,0.000953686,0.00109063,1.004317306,1400
58249,0.000892416,9.73E-05,0.000715452,0.000824766,0.000887546,0.000954615,0.001096934,1.004538594,1400
58248,0.000894698,9.76E-05,0.000715401,0.000827596,0.000890128,0.000956846,0.00109914,1.0046287,1300
58247,0.000895215,9.85E-05,0.000713897,0.000827334,0.000890534,0.00095838,0.001101369,1.0037166,1700
58240,0.000896384,0.000101264,0.000712788,0.000825989,0.000891474,0.000960939,0.001108666,1.004527391,1400
58235,0.00089393,0.000102348,0.000706474,0.000822998,0.000888898,0.000960409,0.001110017,1.004327366,1400
58229,0.000893875,0.000104173,0.000705716,0.000821186,0.000888477,0.000960089,0.001114131,1.004199959,1500
58228,0.000896122,0.000104407,0.000707107,0.000824075,0.000890139,0.00096298,0.00111331,1.004406228,1400
58224,0.000893413,0.000105243,0.00070333,0.00081991,0.000887898,0.000961404,0.001114334,1.00484327,1300
58218,0.000894199,0.000105619,0.000704899,0.000820682,0.000888484,0.000961575,0.001119067,1.004448079,1400
58210,0.000892634,0.000106176,0.000699287,0.000818208,0.000887103,0.00096109,0.001116578,1.004469194,1400
58208,0.000892773,0.000106132,0.000701029,0.000819354,0.000887302,0.000960212,0.001115447,1.004130417,1500
58202,0.00089249,0.000106171,0.000700963,0.000818039,0.000886889,0.000961336,0.001114209,1.004826292,1300
58197,0.000889556,0.000105922,0.000699002,0.000815284,0.000884011,0.000957208,0.001112893,1.00436638,1400
58192,0.000889847,0.000105212,0.000699066,0.000816391,0.00088412,0.000957142,0.001108709,1.004056658,1600
58191,0.000886904,0.000105292,0.000696126,0.000813338,0.000881554,0.000954939,0.001106455,1.004155368,1500
58189,0.000891659,0.000105337,0.000702256,0.000817054,0.000886139,0.000960021,0.001114031,1.004330078,1400
58179,0.000888442,0.000102672,0.000702698,0.000816264,0.000883388,0.00095442,0.001107832,1.004320776,1400
58173,0.000886123,0.000100887,0.000702306,0.000815222,0.000880819,0.000950443,0.001095934,1.004625632,1300
58171,0.000889626,0.000100013,0.000709425,0.000819843,0.000884782,0.000952909,0.001100894,1.004655458,1300
58169,0.000891228,9.96E-05,0.000710769,0.000822298,0.00088598,0.000955119,0.001100096,1.004271247,1500
58162,0.000886825,9.70E-05,0.000712243,0.00081998,0.000880754,0.000948289,0.001089764,1.004642938,1300
58154,0.000883519,9.34E-05,0.00071389,0.000818699,0.000879279,0.000942753,0.001080808,1.005697356,1000
58153,0.000885987,9.21E-05,0.000719098,0.000821886,0.00088162,0.000944569,0.001079035,1.004477106,1400
58150,0.000887233,9.12E-05,0.000721809,0.000823535,0.000882929,0.00094543,0.001079082,1.004678197,1300
58149,0.000886692,9.00E-05,0.000722761,0.000824377,0.000882311,0.000943704,0.001077192,1.00444183,1400
58136,0.00088619,8.06E-05,0.000738463,0.000830045,0.00088296,0.000938139,0.001053458,1.00555293,1100
58133,0.000886857,7.78E-05,0.000743933,0.000832826,0.000883617,0.000937334,0.001049071,1.004706995,1300
58131,0.000887885,7.82E-05,0.000743638,0.000833563,0.000884643,0.000938624,0.00105117,1.005430065,1100
58128,0.000886891,7.88E-05,0.000741815,0.000832012,0.000883844,0.000937726,0.001051922,1.005112056,1200
58119,0.000898152,7.81E-05,0.000753944,0.000844102,0.000895018,0.000948812,0.001059508,1.005489958,1100
58116,0.000898683,7.68E-05,0.000756158,0.000844738,0.000896121,0.000948992,0.001057065,1.005691505,1000
58113,0.000902858,7.56E-05,0.000762696,0.000850434,0.000900026,0.000951536,0.001058995,1.006087398,960
58112,0.000903068,7.52E-05,0.000764641,0.000849682,0.000900922,0.000951803,0.001058,1.005833484,1000
58110,0.0009039,7.37E-05,0.000765465,0.000852931,0.000901636,0.000952063,0.001056753,1.005901785,990
58102,0.00091033,6.65E-05,0.000786323,0.000864443,0.000908029,0.00095387,0.001047463,1.006379299,910
58101,0.000914898,6.69E-05,0.000789959,0.000868682,0.000912577,0.000958667,0.001052681,1.007297624,780
58099,0.000947527,6.90E-05,0.000818746,0.000899828,0.000945357,0.000992929,0.00108768,1.006178212,940
58096,0.000989519,7.47E-05,0.000850335,0.000937628,0.000987685,0.001039282,0.001141937,1.006794855,850
58091,0.00106115,8.08E-05,0.000910669,0.001005392,0.001058518,0.001114022,0.001226251,1.006910498,830
58086,0.001140109,8.30E-05,0.000984894,0.001082469,0.00113816,0.001194919,0.001310977,1.006290743,920
58081,0.001161561,8.60E-05,0.001002043,0.001101989,0.00115915,0.001218316,0.001338244,1.006497161,890
58074,0.00107484,8.27E-05,0.00092001,0.001017137,0.001072007,0.001130062,0.001242633,1.00458781,1300
58073,0.001059317,8.16E-05,0.000909591,0.001002739,0.00105653,0.001112969,0.001228615,1.005863793,1000
58071,0.001038354,7.93E-05,0.000889968,0.000983942,0.001035685,0.001089452,0.001201701,1.006146015,950
58068,0.001001636,7.46E-05,0.000862907,0.000949488,0.000999299,0.001050182,0.001155132,1.006422903,900
58064,0.000973981,7.27E-05,0.000839565,0.000922943,0.00097134,0.001021805,0.001123529,1.005600402,1100
58057,0.000945856,7.44E-05,0.000807478,0.000894584,0.000942491,0.000993741,0.001100539,1.004889778,1200
58045,0.000892979,6.79E-05,0.000765818,0.000846317,0.000890776,0.000937635,0.001031583,1.005795604,1000
58043,0.000897323,7.01E-05,0.00076464,0.00084923,0.000895073,0.000943104,0.001041856,1.005073915,1200
58029,0.000890147,7.92E-05,0.000744,0.000834973,0.000887104,0.000942101,0.001055021,1.004314484,1400
58015,0.000882512,8.20E-05,0.000733241,0.000826033,0.000878059,0.000935171,0.001054607,1.00423131,1500
58001,0.000876927,7.93E-05,0.000732008,0.000821305,0.000872917,0.000928523,0.0010424,1.003977225,1600
57990,0.00087214,7.24E-05,0.000738222,0.000822296,0.000869299,0.000919366,0.001022604,1.004020862,1600
57987,0.000871703,7.01E-05,0.00074102,0.000823264,0.000869505,0.000918304,0.001013887,1.004926377,1200
57976,0.00086611,7.99E-05,0.000718613,0.000810719,0.00086271,0.000917578,0.001034143,1.003259697,2100
57973,0.000866253,8.22E-05,0.000716826,0.000809332,0.000862685,0.000919157,0.001037516,1.003842045,1700
57962,0.000860021,8.94E-05,0.000698378,0.000797851,0.000855381,0.000917658,0.001046092,1.003277048,2100
57959,0.000861696,9.02E-05,0.000696326,0.000799157,0.000858091,0.000919853,0.001050062,1.003019955,2300
57945,0.000854394,9.60E-05,0.000679818,0.000787868,0.000849635,0.000915834,0.001055723,1.002622126,2800
57931,0.000848532,0.000100498,0.000667862,0.000778364,0.000842613,0.000912572,0.001063277,1.002526235,3000
57917,0.000842251,0.000102229,0.00065864,0.000771392,0.000835814,0.000906776,0.001060985,1.002311362,3400
57903,0.00083667,0.00010271,0.000651876,0.000764798,0.000831103,0.000901996,0.001054781,1.002644745,2800
57876,0.000823543,9.96E-05,0.000643709,0.000753955,0.000818382,0.000887504,0.001031132,1.003130788,2200
57862,0.000818982,9.52E-05,0.000647985,0.000752437,0.000813819,0.000879567,0.001019623,1.002628712,2800
57851,0.000812324,9.16E-05,0.000645771,0.000749035,0.000807497,0.000870732,0.001004553,1.003126517,2200
57848,0.000810923,9.01E-05,0.000647757,0.000748463,0.000806518,0.000868787,0.000997659,1.002723656,2700
57834,0.000801462,8.24E-05,0.000651528,0.000744193,0.000797275,0.000854309,0.000973777,1.003161273,2200
57820,0.00079612,7.31E-05,0.000661174,0.000745425,0.000793053,0.000843682,0.00094645,1.003589537,1800
57806,0.000789938,6.00E-05,0.000678574,0.000748567,0.000787817,0.000829202,0.000913895,1.005009245,1200
57792,0.000794616,7.33E-05,0.000659894,0.000743349,0.000791792,0.000843157,0.000944819,1.00403853,1600
57778,0.000801094,8.25E-05,0.00064991,0.00074305,0.000797205,0.000854718,0.000972637,1.002887544,2400
57764,0.00080858,9.06E-05,0.000643938,0.000745254,0.000804525,0.000867108,0.000996175,1.002843292,2500
57750,0.000810668,9.53E-05,0.000637423,0.000744149,0.000805861,0.000872126,0.001012386,1.002501333,3000
57736,0.000815152,9.95E-05,0.000635251,0.000745417,0.000809661,0.000879425,0.001025904,1.002724375,2700
57722,0.000819906,0.0001021,0.000636304,0.000748103,0.000813907,0.000885244,0.001035774,1.002653284,2800
57708,0.000823751,0.000102318,0.000639506,0.00075196,0.000818793,0.000888895,0.001038595,1.002431932,3100
57700,0.000827148,0.000103221,0.000641454,0.000755643,0.000821128,0.000892192,0.00104795,1.002620697,2800
57687,0.000830081,0.000102174,0.000645189,0.000759318,0.000823615,0.000895079,0.001046892,1.002510869,3000
57673,0.000833786,0.000100063,0.000652939,0.000763247,0.000828778,0.000897921,0.001045711,1.002371411,3300
57659,0.000837429,9.62E-05,0.000663471,0.000770135,0.000831921,0.000899717,0.001039211,1.00237224,3300
57645,0.000839766,9.04E-05,0.0006761,0.00077636,0.000835392,0.000898302,0.001029896,1.002709651,2700
57632,0.000842718,8.33E-05,0.0006909,0.000785071,0.000838468,0.000896917,0.001016576,1.003088836,2200
57619,0.000844593,7.33E-05,0.000710149,0.000793991,0.000841461,0.000892362,0.00099746,1.004503427,1400
57606,0.000838761,8.20E-05,0.000689271,0.000781061,0.000835061,0.000891814,0.001007821,1.002891589,2400
57593,0.000831533,8.77E-05,0.000672023,0.000769562,0.00082796,0.000887831,0.001014039,1.003358464,2000
57580,0.000821555,9.02E-05,0.000658769,0.000758528,0.000817168,0.000879635,0.001010205,1.003078025,2200
57566,0.000810608,9.11E-05,0.000644493,0.000746413,0.000806145,0.000870194,0.001000031,1.002752026,2600
57553,0.000803312,9.02E-05,0.00063821,0.000739873,0.000799243,0.000861953,0.000992013,1.003117576,2200
57540,0.000794646,8.65E-05,0.000637352,0.000734424,0.000790535,0.000850749,0.0009767,1.002819943,2500
57527,0.000785528,8.21E-05,0.000635643,0.00072869,0.00078149,0.000839104,0.000957124,1.003543927,1900
57514,0.000777127,7.52E-05,0.000640112,0.000725076,0.000773605,0.000825293,0.000935764,1.00361856,1800
57500,0.000768251,6.35E-05,0.000651379,0.000724316,0.00076567,0.000809506,0.000900489,1.00389247,1600
57487,0.000776043,7.42E-05,0.000639697,0.000724333,0.000773201,0.000823708,0.000930211,1.003247436,2100
57478,0.000781622,8.01E-05,0.00063597,0.000726222,0.000777437,0.00083284,0.000950851,1.003039243,2300
57474,0.000784287,8.23E-05,0.000635491,0.000726661,0.000780008,0.000837813,0.000957238,1.002973424,2300
57461,0.000793613,8.86E-05,0.000632918,0.000730883,0.000789151,0.000851102,0.000979317,1.002799587,2500
57448,0.000802083,9.32E-05,0.00063455,0.000735872,0.000796579,0.000862734,0.000997642,1.002561316,2900
57435,0.000811065,9.60E-05,0.000639546,0.000743625,0.00080607,0.00087201,0.001014536,1.002138842,3800
57421,0.000816993,9.74E-05,0.000642309,0.00074853,0.000811163,0.000879619,0.001022544,1.002177899,3700
57408,0.000822354,9.74E-05,0.000647402,0.000753788,0.000816707,0.000884672,0.001027418,1.002488911,3000
57395,0.000833403,9.64E-05,0.000658211,0.000766384,0.000828294,0.000895381,0.001037378,1.002511264,3000
57382,0.000836642,9.29E-05,0.000668118,0.000771927,0.000832369,0.000895884,0.00103275,1.002490115,3000
57371,0.000843506,8.90E-05,0.000680647,0.000780723,0.000839726,0.000901269,0.00103023,1.00365749,1800
57369,0.000843594,8.81E-05,0.000682201,0.000782568,0.000839638,0.000900927,0.001029518,1.003014255,2300
57354,0.000853584,7.97E-05,0.000707617,0.000798064,0.000850115,0.000905109,0.001018118,1.003311376,2000
57338,0.000862242,6.60E-05,0.00073885,0.000816419,0.000860178,0.000905662,0.000998214,1.005505582,1100
57322,0.000859668,7.92E-05,0.000714979,0.000805037,0.000856515,0.000910513,0.001025631,1.002962637,2400
57306,0.000851948,8.65E-05,0.000693969,0.000792132,0.00084783,0.000908089,0.001034178,1.003163236,2200
57290,0.000844114,8.94E-05,0.000682169,0.00078175,0.000840158,0.000901571,0.001032093,1.002384075,3200
57275,0.00083975,8.95E-05,0.000676046,0.00077749,0.00083533,0.000896423,0.001029267,1.002582484,2900
57259,0.000828762,8.58E-05,0.000672461,0.000768766,0.000824851,0.000884067,0.001008556,1.002670525,2700
57243,0.000819816,7.85E-05,0.000676638,0.000765025,0.000816604,0.000870376,0.000984862,1.003230827,2100
57226,0.000812115,6.52E-05,0.000689646,0.000767057,0.000809966,0.000854399,0.000946697,1.004336348,1400
57214,0.000815534,7.50E-05,0.0006759,0.000763375,0.000812563,0.000864213,0.000970686,1.002714899,2700
57209,0.000816836,7.92E-05,0.000671608,0.000762467,0.000813862,0.000867587,0.000982236,1.002489357,3000
57192,0.000822216,8.89E-05,0.000659937,0.000760649,0.000817912,0.000879091,0.001011213,1.002363513,3300
57175,0.00082801,9.40E-05,0.000657216,0.000762858,0.000823342,0.000887158,0.001027912,1.002566008,2900
57158,0.000830745,9.75E-05,0.000655657,0.000761416,0.000825455,0.000893815,0.00103709,1.002097599,4000
57141,0.000835026,9.70E-05,0.000661067,0.000766864,0.000829737,0.000896812,0.001039546,1.002328736,3300
57125,0.000839673,9.51E-05,0.000666427,0.000773056,0.000835862,0.00090102,0.001037277,1.002546808,2900
57108,0.000838572,9.04E-05,0.000673887,0.000775955,0.000833918,0.000896161,0.001030062,1.002636684,2800
57091,0.000842761,8.19E-05,0.000694221,0.000785463,0.000839256,0.000896088,0.001013436,1.003240765,2100
57074,0.000842283,6.80E-05,0.000716876,0.000795362,0.000839983,0.000886091,0.000985585,1.0040097,1600
57057,0.000845152,8.25E-05,0.000692561,0.000787979,0.000841425,0.000897803,0.00101743,1.003379831,2000
56953,0.000823295,0.000123934,0.000603906,0.000736413,0.000814977,0.000901461,0.001090691,1.001877977,4800
56941,0.000820975,0.000126817,0.000598643,0.000731082,0.000812457,0.000900693,0.0010956,1.002094072,4000
56929,0.00082108,0.000127896,0.000597288,0.000730949,0.000811388,0.000901996,0.001095335,1.00223116,3600
56917,0.000816617,0.000128539,0.000591082,0.000725142,0.000807321,0.000897623,0.001095309,1.00234779,3300
56905,0.000813493,0.000129178,0.000588344,0.000722366,0.000804573,0.00089432,0.001094212,1.002451363,3100
56893,0.000810901,0.00013072,0.000583416,0.000718751,0.00080117,0.00089187,0.001093605,1.002368335,3300
56880,0.000806039,0.000129097,0.000580266,0.000715267,0.000796246,0.000887001,0.001083365,1.00235892,3300
56868,0.000802531,0.000128645,0.000575147,0.000712753,0.00079327,0.000882668,0.001077786,1.002352743,3300
56856,0.000799754,0.000128101,0.000575877,0.000710118,0.000789248,0.00088095,0.001074662,1.002490205,3000
56821,0.000788913,0.00012318,0.000573302,0.000702001,0.000779929,0.000865606,0.001054542,1.002513838,3000
56786,0.00077657,0.000114025,0.000574383,0.000696695,0.000768658,0.000847881,0.00102324,1.002324981,3400
56752,0.000765016,0.00010305,0.000581534,0.000692292,0.000758382,0.000830395,0.000985038,1.002696209,2700
56718,0.000750016,8.64E-05,0.000594247,0.000689511,0.000745093,0.000805189,0.000931825,1.003043069,2300
56686,0.000738999,6.45E-05,0.000621549,0.000694555,0.000735425,0.000781218,0.000873706,1.005020591,1200
56621,0.000798782,0.00010897,0.000606054,0.000721914,0.000792437,0.000867729,0.001032652,1.002493795,3000
56601,0.00081789,0.00011989,0.000607151,0.00073422,0.000810047,0.000892913,0.001075868,1.002307298,3400
56588,0.000828438,0.000126259,0.000607686,0.000739754,0.000819349,0.000906576,0.001103011,1.002378736,3200
56555,0.000859473,0.00013961,0.000617629,0.000761656,0.000848348,0.000947336,0.001164159,1.001792222,5200
56360,0.001043288,0.00018896,0.000722496,0.000911451,0.00102603,0.001157316,0.001461412,1.001882153,4800
56262,0.001153839,0.000187324,0.000829974,0.001020964,0.001138292,0.00126883,0.001562921,1.002737444,2600
56197,0.001231828,0.000168313,0.000934619,0.001112857,0.001221683,0.001339124,0.001597908,1.003357808,2000
56138,0.001311298,0.000128351,0.001076065,0.001222709,0.001304188,0.001393256,0.001581791,1.005827642,1000
56120,0.00133239,0.000103922,0.001140708,0.001259919,0.001327779,0.001400592,0.001545981,1.007835345,720
56119,0.001331307,0.000105286,0.001138508,0.001257489,0.001326647,0.001400517,0.001549291,1.007696358,740
56109,0.001321207,0.000119255,0.001102185,0.001238101,0.001315414,0.001398763,0.001568731,1.00821861,680
56099,0.001314686,0.000129066,0.001077688,0.001224821,0.00130853,0.001398068,0.001583083,1.006346663,910
56098,0.001313346,0.00012997,0.00107669,0.001222807,0.001306862,0.001396322,0.001586815,1.006430763,900
56086,0.001303521,0.000138331,0.001052657,0.00120635,0.00129589,0.001393531,0.001596947,1.005046806,1200
56079,0.001297443,0.000142769,0.001041796,0.001197129,0.00128933,0.001389621,0.001598912,1.005060892,1200
56075,0.00129352,0.000144612,0.001032399,0.001192196,0.001285751,0.001385652,0.001600156,1.004746486,1300
56064,0.001283689,0.000147272,0.001020807,0.001179743,0.001275507,0.001378997,0.001592573,1.00442666,1400
56060,0.001280344,0.000148893,0.00101184,0.001175756,0.001272658,0.001376213,0.00159618,1.004620718,1300
56052,0.001271903,0.000148113,0.001006107,0.001167597,0.001263229,0.001366745,0.001586073,1.003967995,1600
56041,0.001262917,0.000147257,0.000998105,0.00115903,0.001254201,0.001358602,0.001572656,1.004756602,1300
56040,0.001262841,0.000148662,0.000997097,0.001158232,0.001253578,0.00135727,0.00157616,1.004703062,1300
56032,0.001254096,0.000145959,0.000992066,0.001151582,0.001245141,0.001347251,0.001562654,1.004390747,1400
56020,0.001240737,0.000143717,0.000985172,0.001139747,0.001231566,0.001332948,0.001543939,1.004680831,1300
