age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,34.86086253,0.792503239,33.11652627,34.34995637,34.98988926,35.48862373,35.94458426,1.081672653,80
58759,33.9914211,0.855067431,32.14283079,33.45256191,34.0770301,34.61152953,35.41334032,1.058602805,110
58741,34.62484489,0.855159661,32.79172352,34.08389285,34.70810444,35.24197891,36.05575796,1.056908524,110
58724,33.8893019,0.851118613,32.06251578,33.35147625,33.97173218,34.51274147,35.30311479,1.058498669,110
58706,33.69219138,0.844048032,31.86224207,33.15927371,33.77620591,34.30244794,35.10190173,1.05595754,110
58688,33.40933297,0.777110118,31.71289629,32.92522571,33.50681565,33.98548719,34.62856267,1.066762561,96
58671,32.85864599,1.075475044,30.63926735,32.16202365,32.9070881,33.60415634,34.82274545,1.032849742,180
58654,32.77639432,0.764050653,31.11589018,32.29701538,32.86701425,33.3420173,33.97436213,1.065197535,98
58638,33.19249324,0.765105004,31.52022951,32.71316308,33.28618775,33.76071087,34.3939493,1.065007323,98
58621,33.60139894,0.776749473,31.90436243,33.1156146,33.69717346,34.18025399,34.81942742,1.068058689,94
58605,33.1666768,0.769122977,31.51104652,32.6838398,33.2619468,33.73469508,34.37046851,1.065872083,97
58589,32.78783824,1.07846105,30.54961787,32.09242661,32.83466574,33.54489239,34.75976658,1.033316411,170
58571,33.6298849,0.783519448,31.91473044,33.13866246,33.72692447,34.21180628,34.84144069,1.067967056,95
58553,33.82263606,0.780633606,32.11198073,33.3373167,33.92092187,34.39691441,35.04796354,1.067559296,96
58534,33.78134839,0.777551516,32.07976655,33.29982346,33.8757361,34.3586858,34.99702715,1.066948101,96
58516,34.4025909,0.790578054,32.69918433,33.90401568,34.50440054,34.99130416,35.63255083,1.070549269,92
58497,34.17360773,0.784508331,32.47403217,33.68180975,34.27232015,34.75509642,35.39925235,1.067285559,95
58479,34.18460434,0.788229416,32.44805484,33.69343081,34.28437406,34.76839819,35.41851098,1.069372705,93
58460,35.20504295,0.803768049,33.44754533,34.70145532,35.31272117,35.80100994,36.45078248,1.070996416,91
58441,35.2138923,0.799367127,33.47121509,34.71548815,35.31448156,35.80514357,36.45795758,1.069918413,92
58421,34.71537739,0.797211515,32.97914581,34.222706,34.81966005,35.30837857,35.95397687,1.069792595,92
58402,35.37390724,0.806255211,33.62594329,34.87222852,35.47758444,35.973401,36.6160568,1.070693149,92
58383,34.86026017,0.79788216,33.11167862,34.36068949,34.96577781,35.45369085,36.08935241,1.069363556,94
58363,34.55364916,0.797634364,32.82463587,34.05274802,34.65721152,35.14826013,35.80279421,1.069699475,93
58344,35.04725771,0.800464574,33.3164127,34.54988194,35.15175128,35.64382257,36.28614861,1.071380862,91
58328,35.96115766,0.852017351,34.10475697,35.42186709,36.05970053,36.58339655,37.33237271,1.064519673,99
58324,35.73693989,0.820288312,33.96799084,35.21901756,35.84891433,36.356454,36.99730952,1.0723115,91
58309,36.35252872,0.844741647,34.53434688,35.8260722,36.44317889,36.96975557,37.71983646,1.064870593,97
58305,35.15392831,0.806764215,33.40569638,34.64822089,35.26183645,35.74932769,36.40405055,1.071920872,90
58288,36.13939011,0.829558414,34.33787596,35.61547997,36.23967985,36.74588198,37.46488043,1.067341164,95
58286,35.6666812,0.811210869,33.90853383,35.15659533,35.78400046,36.27229991,36.9004708,1.073418392,89
58283,35.59229391,0.842189566,33.77367497,35.07135109,35.69422267,36.21339439,36.9301984,1.068227217,94
58279,35.68954064,0.855748442,33.84398805,35.16147111,35.78585401,36.31160348,37.07701845,1.064301958,100
58268,35.91828726,0.821292034,34.13661862,35.41152558,36.01433227,36.51429144,37.23602858,1.063688717,100
58266,35.36587305,0.795021428,33.63742883,34.86430859,35.47020832,35.95794929,36.59159481,1.072250174,90
58257,36.0692632,0.857988844,34.22907593,35.52698514,36.16021915,36.69465218,37.47282705,1.063093483,100
58249,36.42778876,0.831330692,34.63288884,35.90489436,36.52931542,37.04281427,37.74292695,1.06737481,96
58248,36.07131191,0.824562381,34.28575679,35.5510663,36.17820024,36.68318395,37.36023354,1.072345259,90
58247,35.97443207,0.815583943,34.2208998,35.45997529,36.08723078,36.58461966,37.21251919,1.075262954,87
58240,35.37548354,0.861505481,33.50169087,34.83209733,35.47129998,36.00496386,36.76706856,1.064011223,99
58235,35.94613629,0.853460501,34.11960703,35.40757573,36.04233373,36.56647177,37.3273132,1.063154585,100
58229,36.12547348,0.82774381,34.32287167,35.60794253,36.23274493,36.74028525,37.41276775,1.071158668,90
58228,35.87904436,0.816642642,34.09933191,35.37439661,35.98593528,36.49198137,37.12975238,1.074310444,88
58224,36.16965431,0.850700289,34.34045765,35.63835484,36.26804554,36.78916893,37.54101372,1.065811126,97
58218,35.9674657,0.862237859,34.10249302,35.42601812,36.06403718,36.59637129,37.36336214,1.06425693,100
58210,36.01607464,0.837277676,34.19600193,35.48790008,36.12379971,36.6370296,37.33467514,1.069222774,93
58208,35.95963476,0.814147377,34.18367291,35.45029684,36.07100679,36.56664758,37.20550094,1.073230708,89
58202,36.29163831,0.860372135,34.42278365,35.75388064,36.39473979,36.92338525,37.67689742,1.06558463,98
58197,36.81362127,0.864277913,34.94988323,36.26947271,36.9090572,37.44589747,38.20202785,1.063510554,100
58192,36.58496413,0.848459621,34.75319303,36.05038635,36.68627213,37.20570725,37.92859784,1.067439145,96
