time,salinity ,temp (C),press (bar),[Ca],[Mg],[SO4],d11Bsw,d18Osw,pCO2,DIC
0,35,25,0,17,36,14,38.45,-1,900,2100
0.255635312,35,25.20602999,0,17,36,14,38.45,-1,928.9886124,2100
0.51479686,35,25.52189416,0,17,36,14,38.45,-1,970.9060949,2100
0.859411907,35,25.95399664,0,17,36,14,38.45,-1,1030.738619,2100
1.147176163,35,26.30555664,0,17,36,14,38.45,-1,1082.180644,2100
1.437684813,35,26.65688409,0,17,36,14,38.45,-1,1136.199228,2100
1.74317223,35,27.02666086,0,17,36,14,38.45,-1,1195.931471,2100
2.029506429,35,27.37025321,0,17,36,14,38.45,-1,1254.253391,2100
2.315009634,35,27.71076616,0,17,36,14,38.45,-1,1314.813782,2100
2.584341514,35,28.02540122,0,17,36,14,38.45,-1,1373.337327,2100
2.852939411,35,28.3304025,0,17,36,14,38.45,-1,1432.497965,2100
3.233802358,35,28.74634253,0,17,36,14,38.45,-1,1517.258135,2100
3.511460136,35,29.03625041,0,17,36,14,38.45,-1,1579.340381,2100
3.769579762,35,29.29649968,0,17,36,14,38.45,-1,1637.219519,2100
4.03124309,35,29.55205011,0,17,36,14,38.45,-1,1696.120171,2100
4.410586597,35,29.90882876,0,17,36,14,38.45,-1,1781.821228,2100
4.717111333,35,30.18479262,0,17,36,14,38.45,-1,1851.228305,2100
5.011476211,35,30.44131759,0,17,36,14,38.45,-1,1918.110055,2100
5.313320038,35,30.69578548,0,17,36,14,38.45,-1,1986.819524,2100
5.642219915,35,30.96267926,0,17,36,14,38.45,-1,2061.515755,2100
5.898069175,35,31.16308171,0,17,36,14,38.45,-1,2119.42036,2100
6.178669928,35,31.2702081,0,17,36,14,38.45,-1,2146.917835,2100
6.482174465,35,31.27067687,0,17,36,14,38.45,-1,2146.455614,2100
6.874816438,35,31.24071508,0,17,36,14,38.45,-1,2137.237774,2100
7.212721633,35,31.20495956,0,17,36,14,38.45,-1,2126.596121,2100
7.650245539,35,31.15655195,0,17,36,14,38.45,-1,2112.378723,2100
