time,salinity ,temp (C),press (bar),[Ca],[Mg],[SO4],d11Bsw,d18Osw,pCO2,DIC
0,35,25,30,20,40,20,39,-1,280,2100
0,35,25,30,20,40,20,39,-1,280,2100
0,35,25,30,20,40,20,39,-3,280,2100
0,35,25,30,20,40,20,39,1,280,2100
0,35,25,30,20,40,20,37,-1,280,2100
0,35,25,30,20,40,20,41,-1,280,2100
0,35,25,30,20,40,5,39,-1,280,2100
0,35,25,30,20,40,30,39,-1,280,2100
0,35,25,30,20,20,20,39,-1,280,2100
0,35,25,30,20,60,20,39,-1,280,2100
0,35,25,30,10,40,20,39,-1,280,2100
0,35,25,30,40,40,20,39,-1,280,2100
0,35,25,0,20,40,20,39,-1,280,2100
0,35,25,100,20,40,20,39,-1,280,2100
0,35,10,30,20,40,20,39,-1,280,2100
0,35,40,30,20,40,20,39,-1,280,2100
0,32,25,30,20,40,20,39,-1,280,2100
0,38,25,30,20,40,20,39,-1,280,2100
0,35,25,30,20,40,20,39,-1,1680,2100
0,35,25,30,20,40,20,39,-1,1680,2100
0,35,25,30,20,40,20,39,-3,1680,2100
0,35,25,30,20,40,20,39,1,1680,2100
0,35,25,30,20,40,20,37,-1,1680,2100
0,35,25,30,20,40,20,41,-1,1680,2100
0,35,25,30,20,40,5,39,-1,1680,2100
0,35,25,30,20,40,30,39,-1,1680,2100
0,35,25,30,20,20,20,39,-1,1680,2100
0,35,25,30,20,60,20,39,-1,1680,2100
0,35,25,30,10,40,20,39,-1,1680,2100
0,35,25,30,40,40,20,39,-1,1680,2100
0,35,25,0,20,40,20,39,-1,1680,2100
0,35,25,100,20,40,20,39,-1,1680,2100
0,35,10,30,20,40,20,39,-1,1680,2100
0,35,40,30,20,40,20,39,-1,1680,2100
0,32,25,30,20,40,20,39,-1,1680,2100
0,38,25,30,20,40,20,39,-1,1680,2100
0,35,25,30,20,40,20,39,-1,280,2100
0,35,25,30,20,40,20,39,-1,1680,2100
0,35,25,30,20,40,20,39,-3,500,2100
0,35,25,30,20,40,20,39,1,500,2100
0,35,25,30,20,40,20,37,-1,500,2100
0,35,25,30,20,40,20,41,-1,500,2100
0,35,25,30,20,40,5,39,-1,500,2100
0,35,25,30,20,40,30,39,-1,500,2100
0,35,25,30,20,20,20,39,-1,500,2100
0,35,25,30,20,60,20,39,-1,500,2100
0,35,25,30,10,40,20,39,-1,500,2100
0,35,25,30,40,40,20,39,-1,500,2100
0,35,25,0,20,40,20,39,-1,500,2100
0,35,25,100,20,40,20,39,-1,500,2100
